ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility
O:XLF230113C00024000,2023-01-09,2023-01-13,XLF,C,24.0,1.0,11.66,11.66,-31.91,YES,11.66,48.58,11.66,48.58,11.66,11.66,1.0,1673240400000000000,4.0,Weekly,35.5,35.25,35.7,35.16,35.25,35.25,35.7,35.25,0.0433,2.8467
O:XLF230113C00032000,2023-01-09,2023-01-13,XLF,C,32.0,15.0,3.69,3.69,-9.22,YES,3.69,11.53,3.69,11.53,3.69,3.69,1.0,1673240400000000000,4.0,Weekly,35.5,35.25,35.7,35.16,35.25,35.25,35.7,35.25,0.0433,1.0954
O:XLF230113C00033000,2023-01-09,2023-01-13,XLF,C,33.0,1.0,2.4,2.4,-6.38,YES,2.4,7.27,2.4,7.27,2.4,2.4,1.0,1673240400000000000,4.0,Weekly,35.5,35.25,35.7,35.16,35.25,35.25,35.7,35.25,0.0433,0.5679
O:XLF230113C00033500,2023-01-09,2023-01-13,XLF,C,33.5,1.0,2.04,2.04,-4.96,YES,2.04,6.09,2.04,6.09,2.04,2.04,1.0,1673240400000000000,4.0,Weekly,35.5,35.25,35.7,35.16,35.25,35.25,35.7,35.25,0.0433,0.6222
O:XLF230113C00034000,2023-01-09,2023-01-13,XLF,C,34.0,44.0,1.46,1.31,-3.55,YES,1.31,3.85,1.46,4.29,1.7,1.31,7.0,1673240400000000000,4.0,Weekly,35.5,35.25,35.7,35.16,35.25,35.25,35.7,35.25,0.0433,0.268
O:XLF230113C00034500,2023-01-09,2023-01-13,XLF,C,34.5,39.0,1.04,0.95,-2.13,YES,0.95,2.75,1.04,3.01,1.29,0.95,13.0,1673240400000000000,4.0,Weekly,35.5,35.25,35.7,35.16,35.25,35.25,35.7,35.25,0.0433,0.3234
O:XLF230113C00035000,2023-01-09,2023-01-13,XLF,C,35.0,328.0,0.79,0.6,-0.71,YES,0.6,1.71,0.79,2.26,0.88,0.57,93.0,1673240400000000000,4.0,Weekly,35.5,35.25,35.7,35.16,35.25,35.25,35.7,35.25,0.0433,0.3098
O:XLF230113C00035500,2023-01-09,2023-01-13,XLF,C,35.5,5316.0,0.49,0.31,0.71,NO,0.31,0.87,0.49,1.38,0.56,0.31,304.0,1673240400000000000,4.0,Weekly,35.5,35.25,35.7,35.16,35.25,35.25,35.7,35.25,0.0433,0.2818
O:XLF230113C00036000,2023-01-09,2023-01-13,XLF,C,36.0,2349.0,0.25,0.16,2.13,NO,0.16,0.44,0.25,0.69,0.3,0.15,230.0,1673240400000000000,4.0,Weekly,35.5,35.25,35.7,35.16,35.25,35.25,35.7,35.25,0.0433,0.2897
O:XLF230113C00036500,2023-01-09,2023-01-13,XLF,C,36.5,920.0,0.11,0.06,3.55,NO,0.06,0.16,0.11,0.3,0.14,0.06,117.0,1673240400000000000,4.0,Weekly,35.5,35.25,35.7,35.16,35.25,35.25,35.7,35.25,0.0433,
O:XLF230113C00037000,2023-01-09,2023-01-13,XLF,C,37.0,8362.0,0.05,0.03,4.96,NO,0.03,0.08,0.05,0.14,0.06,0.02,138.0,1673240400000000000,4.0,Weekly,35.5,35.25,35.7,35.16,35.25,35.25,35.7,35.25,0.0433,
O:XLF230113C00037500,2023-01-09,2023-01-13,XLF,C,37.5,1125.0,0.02,0.02,6.38,NO,0.02,0.05,0.02,0.05,0.03,0.01,59.0,1673240400000000000,4.0,Weekly,35.5,35.25,35.7,35.16,35.25,35.25,35.7,35.25,0.0433,
O:XLF230113C00038000,2023-01-09,2023-01-13,XLF,C,38.0,130.0,0.01,0.01,7.8,NO,0.01,0.03,0.01,0.03,0.01,0.01,19.0,1673240400000000000,4.0,Weekly,35.5,35.25,35.7,35.16,35.25,35.25,35.7,35.25,0.0433,
O:XLF230113C00040000,2023-01-09,2023-01-13,XLF,C,40.0,10.0,0.01,0.01,13.48,NO,0.01,0.02,0.01,0.02,0.01,0.01,2.0,1673240400000000000,4.0,Weekly,35.5,35.25,35.7,35.16,35.25,35.25,35.7,35.25,0.0433,
O:XLF230127C00025000,2023-01-23,2023-01-27,XLF,C,25.0,2.0,10.4,10.4,-30.09,YES,10.4,41.6,10.4,41.6,10.4,10.4,1.0,1674450000000000000,4.0,Weekly,35.38,35.76,35.91,35.27,35.76,35.76,35.91,35.76,0.0433,
O:XLF230127C00032500,2023-01-23,2023-01-27,XLF,C,32.5,12.0,3.26,3.26,-9.12,YES,3.26,10.03,3.26,10.03,3.26,3.26,1.0,1674450000000000000,4.0,Weekly,35.38,35.76,35.91,35.27,35.76,35.76,35.91,35.76,0.0433,
O:XLF230127C00033000,2023-01-23,2023-01-27,XLF,C,33.0,12.0,2.76,2.76,-7.72,YES,2.76,8.36,2.76,8.36,2.76,2.76,1.0,1674450000000000000,4.0,Weekly,35.38,35.76,35.91,35.27,35.76,35.76,35.91,35.76,0.0433,
O:XLF230127C00033500,2023-01-23,2023-01-27,XLF,C,33.5,1.0,2.17,2.17,-6.32,YES,2.17,6.48,2.17,6.48,2.17,2.17,1.0,1674450000000000000,4.0,Weekly,35.38,35.76,35.91,35.27,35.76,35.76,35.91,35.76,0.0433,
O:XLF230127C00034000,2023-01-23,2023-01-27,XLF,C,34.0,14.0,1.43,1.7,-4.92,YES,1.7,5.0,1.43,4.21,1.8,1.43,7.0,1674450000000000000,4.0,Weekly,35.38,35.76,35.91,35.27,35.76,35.76,35.91,35.76,0.0433,
O:XLF230127C00034500,2023-01-23,2023-01-27,XLF,C,34.5,41.0,0.98,1.21,-3.52,YES,1.21,3.51,0.98,2.84,1.27,0.91,28.0,1674450000000000000,4.0,Weekly,35.38,35.76,35.91,35.27,35.76,35.76,35.91,35.76,0.0433,
O:XLF230127C00035000,2023-01-23,2023-01-27,XLF,C,35.0,287.0,0.55,0.85,-2.13,YES,0.85,2.43,0.55,1.57,0.95,0.49,93.0,1674450000000000000,4.0,Weekly,35.38,35.76,35.91,35.27,35.76,35.76,35.91,35.76,0.0433,0.2192
O:XLF230127C00035500,2023-01-23,2023-01-27,XLF,C,35.5,1139.0,0.27,0.45,-0.73,YES,0.45,1.27,0.27,0.76,0.56,0.2,149.0,1674450000000000000,4.0,Weekly,35.38,35.76,35.91,35.27,35.76,35.76,35.91,35.76,0.0433,0.1955
O:XLF230127C00036000,2023-01-23,2023-01-27,XLF,C,36.0,2517.0,0.07,0.17,0.67,NO,0.17,0.47,0.07,0.19,0.25,0.06,265.0,1674450000000000000,4.0,Weekly,35.38,35.76,35.91,35.27,35.76,35.76,35.91,35.76,0.0433,0.1781
O:XLF230127C00036500,2023-01-23,2023-01-27,XLF,C,36.5,1213.0,0.02,0.05,2.07,NO,0.05,0.14,0.02,0.05,0.07,0.01,186.0,1674450000000000000,4.0,Weekly,35.38,35.76,35.91,35.27,35.76,35.76,35.91,35.76,0.0433,
O:XLF230127C00037000,2023-01-23,2023-01-27,XLF,C,37.0,81.0,0.01,0.02,3.47,NO,0.02,0.05,0.01,0.03,0.02,0.01,19.0,1674450000000000000,4.0,Weekly,35.38,35.76,35.91,35.27,35.76,35.76,35.91,35.76,0.0433,
