expiration_date,expiration_category,friday_number
2023-02-17,Monthly,3.0
2023-03-17,Monthly,3.0
2023-04-21,Monthly,3.0
2023-05-19,Monthly,3.0
2023-06-16,Monthly,3.0
2023-07-21,Monthly,3.0
2023-08-18,Monthly,3.0
2023-09-15,Monthly,3.0
2023-10-20,Monthly,3.0
2023-11-17,Monthly,3.0
2023-12-15,Monthly,3.0
2024-01-19,Monthly,3.0
