expiration_date,expiration_category,friday_number
2024-02-16,Monthly,3.0
2024-03-15,Monthly,3.0
2024-04-19,Monthly,3.0
2024-05-17,Monthly,3.0
2024-06-21,Monthly,3.0
2024-07-19,Monthly,3.0
2024-08-16,Monthly,3.0
2024-09-20,Monthly,3.0
2024-10-18,Monthly,3.0
2024-11-15,Monthly,3.0
2024-12-20,Monthly,3.0
2025-01-17,Monthly,3.0
