ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,implied_volatility,probability_itm,mid_price,fedfunds_rate
O:SMCI170217C00025000,2017-01-17,2017-02-17,SMCI,C,250.0,60,3.75,3.1,3.75,3.1,3,1484629200000000000,31,Monthly,,,3.425,0.02
O:SMCI170217C00030000,2017-01-17,2017-02-17,SMCI,C,300.0,56,0.6,0.58,0.6,0.58,4,1484629200000000000,31,Monthly,,,0.59,0.02
O:SMCI170217C00025000,2017-01-18,2017-02-17,SMCI,C,250.0,30,3.0,3.0,3.0,3.0,1,1484715600000000000,30,Monthly,,,3.0,0.02
O:SMCI170217C00030000,2017-01-18,2017-02-17,SMCI,C,300.0,66,0.55,0.55,0.55,0.55,2,1484715600000000000,30,Monthly,,,0.55,0.02
O:SMCI170217C00020000,2017-01-19,2017-02-17,SMCI,C,200.0,10,7.4,7.4,7.4,7.4,1,1484802000000000000,29,Monthly,,,7.4,0.02
O:SMCI170317C00030000,2017-02-13,2017-03-17,SMCI,C,300.0,10,0.19,0.2,0.2,0.19,2,1486962000000000000,32,Monthly,,,0.195,0.02
O:SMCI170421C00022500,2017-03-20,2017-04-21,SMCI,C,225.0,70,3.3,3.38,3.38,3.3,2,1489982400000000000,32,Monthly,,,3.34,0.02
O:SMCI170421C00022500,2017-03-21,2017-04-21,SMCI,C,225.0,50,3.11,3.14,3.14,3.11,2,1490068800000000000,31,Monthly,,,3.125,0.02
O:SMCI170421C00025000,2017-03-21,2017-04-21,SMCI,C,250.0,52,1.1,1.34,1.34,1.1,3,1490068800000000000,31,Monthly,,,1.2200000000000002,0.02
O:SMCI170421C00030000,2017-03-21,2017-04-21,SMCI,C,300.0,41,0.05,0.05,0.06,0.05,3,1490068800000000000,31,Monthly,,,0.055,0.02
O:SMCI170421C00022500,2017-03-22,2017-04-21,SMCI,C,225.0,50,2.9,2.9,2.9,2.9,1,1490155200000000000,30,Monthly,,,2.9,0.02
O:SMCI170421C00025000,2017-03-22,2017-04-21,SMCI,C,250.0,50,1.15,1.15,1.15,1.15,1,1490155200000000000,30,Monthly,,,1.15,0.02
O:SMCI170519C00025000,2017-04-17,2017-05-19,SMCI,C,250.0,1,1.35,1.35,1.35,1.35,1,1492401600000000000,32,Monthly,,,1.35,0.02
O:SMCI170519C00025000,2017-04-18,2017-05-19,SMCI,C,250.0,7,1.05,1.05,1.05,1.05,2,1492488000000000000,31,Monthly,,,1.05,0.02
O:SMCI170519C00025000,2017-04-19,2017-05-19,SMCI,C,250.0,10,1.14,1.14,1.14,1.14,1,1492574400000000000,30,Monthly,,,1.14,0.02
O:SMCI170519C00025000,2017-04-21,2017-05-19,SMCI,C,250.0,15,1.1,1.1,1.1,1.1,1,1492747200000000000,28,Monthly,,,1.1,0.02
O:SMCI170616C00022500,2017-05-15,2017-06-16,SMCI,C,225.0,10,2.5,2.5,2.5,2.5,1,1494820800000000000,32,Monthly,,,2.5,0.02
O:SMCI170616C00022500,2017-05-16,2017-06-16,SMCI,C,225.0,20,2.3,2.1,2.3,2.1,2,1494907200000000000,31,Monthly,,,2.2,0.02
O:SMCI170616C00025000,2017-05-19,2017-06-16,SMCI,C,250.0,20,0.37,0.37,0.37,0.37,1,1495166400000000000,28,Monthly,,,0.37,0.02
O:SMCI170721C00025000,2017-06-19,2017-07-21,SMCI,C,250.0,27,0.7,0.6,0.7,0.6,3,1497844800000000000,32,Monthly,,,0.6499999999999999,0.02
O:SMCI170721C00025000,2017-06-21,2017-07-21,SMCI,C,250.0,9,0.5,0.5,0.5,0.5,1,1498017600000000000,30,Monthly,,,0.5,0.02
O:SMCI170818C00025000,2017-07-17,2017-08-18,SMCI,C,250.0,75,2.49,2.28,2.5,2.28,7,1500264000000000000,32,Monthly,,,2.3899999999999997,0.02
O:SMCI170818C00025000,2017-07-18,2017-08-18,SMCI,C,250.0,2,2.2,2.2,2.2,2.2,1,1500350400000000000,31,Monthly,,,2.2,0.02
O:SMCI170818C00025000,2017-07-19,2017-08-18,SMCI,C,250.0,5,2.21,2.15,2.21,2.15,2,1500436800000000000,30,Monthly,,,2.1799999999999997,0.02
O:SMCI170818C00030000,2017-07-19,2017-08-18,SMCI,C,300.0,4,0.25,0.25,0.25,0.25,1,1500436800000000000,30,Monthly,,,0.25,0.02
O:SMCI170818C00025000,2017-07-20,2017-08-18,SMCI,C,250.0,5,2.75,2.8,2.8,2.75,2,1500523200000000000,29,Monthly,,,2.775,0.02
O:SMCI170818C00030000,2017-07-20,2017-08-18,SMCI,C,300.0,2,0.35,0.35,0.35,0.35,1,1500523200000000000,29,Monthly,,,0.35,0.02
O:SMCI170818C00025000,2017-07-21,2017-08-18,SMCI,C,250.0,9,2.0,1.7,2.0,1.7,3,1500609600000000000,28,Monthly,,,1.85,0.02
