ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,implied_volatility,probability_itm,mid_price,fedfunds_rate
O:SMCI220218C00035000,2022-01-18,2022-02-18,SMCI,C,350.0,1,11.8,11.8,11.8,11.8,1,1642482000000000000,31,Monthly,,,11.8,0.02
O:SMCI220218C00040000,2022-01-18,2022-02-18,SMCI,C,400.0,10,6.9,6.9,6.9,6.9,1,1642482000000000000,31,Monthly,,,6.9,0.02
O:SMCI220218C00050000,2022-01-18,2022-02-18,SMCI,C,500.0,3,1.15,1.45,1.45,1.15,3,1642482000000000000,31,Monthly,,,1.2999999999999998,0.02
O:SMCI220218C00055000,2022-01-18,2022-02-18,SMCI,C,550.0,8,0.39,0.39,0.39,0.39,1,1642482000000000000,31,Monthly,,,0.39,0.02
O:SMCI220218C00040000,2022-01-19,2022-02-18,SMCI,C,400.0,16,6.6,4.0,6.6,4.0,7,1642568400000000000,30,Monthly,,,5.3,0.02
O:SMCI220218C00045000,2022-01-19,2022-02-18,SMCI,C,450.0,24,2.64,1.55,2.64,1.5,20,1642568400000000000,30,Monthly,,,2.0700000000000003,0.02
O:SMCI220218C00050000,2022-01-19,2022-02-18,SMCI,C,500.0,10,1.1,0.4,1.1,0.4,4,1642568400000000000,30,Monthly,,,0.75,0.02
O:SMCI220218C00055000,2022-01-19,2022-02-18,SMCI,C,550.0,9,0.2,0.25,0.25,0.2,2,1642568400000000000,30,Monthly,,,0.225,0.02
O:SMCI220218C00045000,2022-01-20,2022-02-18,SMCI,C,450.0,22,1.5,1.95,1.95,1.45,4,1642654800000000000,29,Monthly,,,1.7,0.02
O:SMCI220218C00050000,2022-01-20,2022-02-18,SMCI,C,500.0,2,0.4,0.23,0.4,0.23,2,1642654800000000000,29,Monthly,,,0.315,0.02
O:SMCI220218C00045000,2022-01-21,2022-02-18,SMCI,C,450.0,14,1.7,1.25,1.7,1.15,5,1642741200000000000,28,Monthly,,,1.4249999999999998,0.02
O:SMCI220218C00050000,2022-01-21,2022-02-18,SMCI,C,500.0,4,0.45,0.85,0.85,0.45,2,1642741200000000000,28,Monthly,,,0.65,0.02
O:SMCI220318C00035000,2022-02-15,2022-03-18,SMCI,C,350.0,5,5.3,5.3,5.3,5.3,1,1644901200000000000,31,Monthly,,,5.3,0.02
O:SMCI220318C00035000,2022-02-16,2022-03-18,SMCI,C,350.0,5,5.6,5.6,5.6,5.6,1,1644987600000000000,30,Monthly,,,5.6,0.02
O:SMCI220318C00040000,2022-02-18,2022-03-18,SMCI,C,400.0,1,1.2,1.2,1.2,1.2,1,1645160400000000000,28,Monthly,,,1.2,0.02
O:SMCI220414C00035000,2022-03-15,2022-04-14,SMCI,C,350.0,1,6.3,6.3,6.3,6.3,1,1647316800000000000,30,Monthly,,,6.3,0.02
O:SMCI220520C00025000,2022-04-19,2022-05-20,SMCI,C,250.0,5,18.4,18.4,18.4,18.4,2,1650340800000000000,31,Monthly,,,18.4,0.02
O:SMCI220520C00035000,2022-04-19,2022-05-20,SMCI,C,350.0,2,6.4,6.4,6.4,6.4,1,1650340800000000000,31,Monthly,,,6.4,0.02
O:SMCI220520C00040000,2022-04-19,2022-05-20,SMCI,C,400.0,233,5.0,6.1,6.2,5.0,127,1650340800000000000,31,Monthly,,,5.6,0.02
O:SMCI220520C00045000,2022-04-19,2022-05-20,SMCI,C,450.0,188,1.9,2.0,2.75,1.0,57,1650340800000000000,31,Monthly,,,1.875,0.02
O:SMCI220520C00050000,2022-04-19,2022-05-20,SMCI,C,500.0,44,1.0,1.1,1.1,0.5,20,1650340800000000000,31,Monthly,,,0.8,0.02
O:SMCI220520C00055000,2022-04-19,2022-05-20,SMCI,C,550.0,28,1.0,0.6,1.0,0.25,10,1650340800000000000,31,Monthly,,,0.625,0.02
O:SMCI220520C00060000,2022-04-19,2022-05-20,SMCI,C,600.0,9,0.2,0.05,0.35,0.05,9,1650340800000000000,31,Monthly,,,0.19999999999999998,0.02
O:SMCI220520C00065000,2022-04-19,2022-05-20,SMCI,C,650.0,35,0.12,0.1,0.15,0.1,15,1650340800000000000,31,Monthly,,,0.125,0.02
O:SMCI220520C00025000,2022-04-20,2022-05-20,SMCI,C,250.0,5,20.5,20.5,20.5,20.5,2,1650427200000000000,30,Monthly,,,20.5,0.02
O:SMCI220520C00030000,2022-04-20,2022-05-20,SMCI,C,300.0,10,15.5,15.5,15.5,15.5,1,1650427200000000000,30,Monthly,,,15.5,0.02
O:SMCI220520C00040000,2022-04-20,2022-05-20,SMCI,C,400.0,256,6.2,7.1,8.1,6.2,124,1650427200000000000,30,Monthly,,,7.15,0.02
O:SMCI220520C00045000,2022-04-20,2022-05-20,SMCI,C,450.0,102,2.9,3.4,4.0,2.7,24,1650427200000000000,30,Monthly,,,3.35,0.02
O:SMCI220520C00050000,2022-04-20,2022-05-20,SMCI,C,500.0,19,1.0,1.18,1.95,1.0,9,1650427200000000000,30,Monthly,,,1.475,0.02
O:SMCI220520C00055000,2022-04-20,2022-05-20,SMCI,C,550.0,24,0.55,0.45,0.9,0.45,13,1650427200000000000,30,Monthly,,,0.675,0.02
O:SMCI220520C00060000,2022-04-20,2022-05-20,SMCI,C,600.0,1,0.5,0.5,0.5,0.5,1,1650427200000000000,30,Monthly,,,0.5,0.02
O:SMCI220520C00065000,2022-04-20,2022-05-20,SMCI,C,650.0,3,0.25,0.15,0.25,0.05,3,1650427200000000000,30,Monthly,,,0.15,0.02
O:SMCI220520C00040000,2022-04-21,2022-05-20,SMCI,C,400.0,406,6.02,4.0,6.02,4.0,202,1650513600000000000,29,Monthly,,,5.01,0.02
