ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,premium,premium_yield_pct,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:TSLA190111C00230000,2019-01-07,2019-01-11,TSLA,C,2300.0,2,103.0,103.0,103.0,4.59,103.0,103.0,1,1546837200000000000,4.0,Weekly,21.448,22.3307,22.4493,21.1834,22.4493,23.1507,23.2273,23.2273
O:TSLA190111C00250000,2019-01-07,2019-01-11,TSLA,C,2500.0,7,69.93,81.0,81.0,3.61,81.0,69.93,5,1546837200000000000,4.0,Weekly,21.448,22.3307,22.4493,21.1834,22.4493,23.1507,23.2273,23.2273
O:TSLA190111C00255000,2019-01-07,2019-01-11,TSLA,C,2550.0,4,66.24,66.2,66.2,2.95,66.24,66.2,2,1546837200000000000,4.0,Weekly,21.448,22.3307,22.4493,21.1834,22.4493,23.1507,23.2273,23.2273
O:TSLA190111C00270000,2019-01-07,2019-01-11,TSLA,C,2700.0,7,52.0,60.55,60.55,2.7,64.26,52.0,7,1546837200000000000,4.0,Weekly,21.448,22.3307,22.4493,21.1834,22.4493,23.1507,23.2273,23.2273
O:TSLA190111C00280000,2019-01-07,2019-01-11,TSLA,C,2800.0,27,41.15,55.1,55.1,2.45,55.77,41.15,5,1546837200000000000,4.0,Weekly,21.448,22.3307,22.4493,21.1834,22.4493,23.1507,23.2273,23.2273
O:TSLA190111C00282500,2019-01-07,2019-01-11,TSLA,C,2825.0,5,40.05,37.2,37.2,1.66,40.05,37.2,2,1546837200000000000,4.0,Weekly,21.448,22.3307,22.4493,21.1834,22.4493,23.1507,23.2273,23.2273
O:TSLA190111C00285000,2019-01-07,2019-01-11,TSLA,C,2850.0,14,36.4,45.75,45.75,2.04,48.92,36.4,5,1546837200000000000,4.0,Weekly,21.448,22.3307,22.4493,21.1834,22.4493,23.1507,23.2273,23.2273
O:TSLA190111C00287500,2019-01-07,2019-01-11,TSLA,C,2875.0,2,37.75,37.0,37.0,1.65,37.75,37.0,2,1546837200000000000,4.0,Weekly,21.448,22.3307,22.4493,21.1834,22.4493,23.1507,23.2273,23.2273
O:TSLA190111C00290000,2019-01-07,2019-01-11,TSLA,C,2900.0,68,32.92,44.88,44.88,2.0,45.58,32.92,20,1546837200000000000,4.0,Weekly,21.448,22.3307,22.4493,21.1834,22.4493,23.1507,23.2273,23.2273
O:TSLA190111C00292500,2019-01-07,2019-01-11,TSLA,C,2925.0,3,30.0,30.0,30.0,1.34,30.0,30.0,1,1546837200000000000,4.0,Weekly,21.448,22.3307,22.4493,21.1834,22.4493,23.1507,23.2273,23.2273
