ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:WMT180105C00092500,2018-01-02,2018-01-05,WMT,C,23.12,2,1.73,1.73,1.73,1.73,1,1514869200000000000,3,Weekly,33.1,32.86,33.26,32.84,33.26,33.38,33.46,33.46
O:WMT180105C00094000,2018-01-02,2018-01-05,WMT,C,23.5,1,1.39,1.39,1.39,1.39,1,1514869200000000000,3,Weekly,33.1,32.86,33.26,32.84,33.26,33.38,33.46,33.46
O:WMT180105C00094500,2018-01-02,2018-01-05,WMT,C,23.62,3,1.25,1.25,1.25,1.25,1,1514869200000000000,3,Weekly,33.1,32.86,33.26,32.84,33.26,33.38,33.46,33.46
O:WMT180105C00095000,2018-01-02,2018-01-05,WMT,C,23.75,1,1.07,1.07,1.07,1.07,1,1514869200000000000,3,Weekly,33.1,32.86,33.26,32.84,33.26,33.38,33.46,33.46
O:WMT180105C00096000,2018-01-02,2018-01-05,WMT,C,24.0,256,0.82,0.76,0.84,0.76,7,1514869200000000000,3,Weekly,33.1,32.86,33.26,32.84,33.26,33.38,33.46,33.46
O:WMT180105C00096500,2018-01-02,2018-01-05,WMT,C,24.12,2,0.75,0.75,0.75,0.75,1,1514869200000000000,3,Weekly,33.1,32.86,33.26,32.84,33.26,33.38,33.46,33.46
O:WMT180105C00097000,2018-01-02,2018-01-05,WMT,C,24.25,29,0.65,0.64,0.65,0.48,7,1514869200000000000,3,Weekly,33.1,32.86,33.26,32.84,33.26,33.38,33.46,33.46
O:WMT180105C00097500,2018-01-02,2018-01-05,WMT,C,24.38,86,0.59,0.33,0.59,0.33,20,1514869200000000000,3,Weekly,33.1,32.86,33.26,32.84,33.26,33.38,33.46,33.46
O:WMT180105C00098000,2018-01-02,2018-01-05,WMT,C,24.5,51,0.45,0.28,0.45,0.27,11,1514869200000000000,3,Weekly,33.1,32.86,33.26,32.84,33.26,33.38,33.46,33.46
O:WMT180105C00098500,2018-01-02,2018-01-05,WMT,C,24.62,53,0.34,0.29,0.34,0.23,11,1514869200000000000,3,Weekly,33.1,32.86,33.26,32.84,33.26,33.38,33.46,33.46
O:WMT180105C00099000,2018-01-02,2018-01-05,WMT,C,24.75,491,0.26,0.1,0.28,0.1,67,1514869200000000000,3,Weekly,33.1,32.86,33.26,32.84,33.26,33.38,33.46,33.46
O:WMT180105C00099500,2018-01-02,2018-01-05,WMT,C,24.88,584,0.07,0.06,0.2,0.06,71,1514869200000000000,3,Weekly,33.1,32.86,33.26,32.84,33.26,33.38,33.46,33.46
O:WMT180105C00100000,2018-01-02,2018-01-05,WMT,C,25.0,1492,0.1,0.04,0.15,0.04,142,1514869200000000000,3,Weekly,33.1,32.86,33.26,32.84,33.26,33.38,33.46,33.46
O:WMT180105C00101000,2018-01-02,2018-01-05,WMT,C,25.25,303,0.04,0.02,0.06,0.02,29,1514869200000000000,3,Weekly,33.1,32.86,33.26,32.84,33.26,33.38,33.46,33.46
O:WMT180105C00102000,2018-01-02,2018-01-05,WMT,C,25.5,58,0.02,0.01,0.02,0.01,17,1514869200000000000,3,Weekly,33.1,32.86,33.26,32.84,33.26,33.38,33.46,33.46
O:WMT180112C00090000,2018-01-08,2018-01-12,WMT,C,22.5,5,2.75,2.75,2.75,2.75,1,1515387600000000000,4,Weekly,33.42,33.87,33.92,33.4,33.92,33.62,33.81,33.81
O:WMT180112C00092500,2018-01-08,2018-01-12,WMT,C,23.12,1,2.24,2.24,2.24,2.24,1,1515387600000000000,4,Weekly,33.42,33.87,33.92,33.4,33.92,33.62,33.81,33.81
O:WMT180112C00095000,2018-01-08,2018-01-12,WMT,C,23.75,110,1.34,1.64,1.64,1.34,3,1515387600000000000,4,Weekly,33.42,33.87,33.92,33.4,33.92,33.62,33.81,33.81
O:WMT180112C00096500,2018-01-08,2018-01-12,WMT,C,24.12,1,1.09,1.09,1.09,1.09,1,1515387600000000000,4,Weekly,33.42,33.87,33.92,33.4,33.92,33.62,33.81,33.81
