ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm,mid_price,high_yield_pct
O:LQD230106C00103000,2023-01-03,2023-01-06,LQD,C,103.0,1,0.82,0.82,-3.73,YES,0.82,0.76,0.82,0.76,0.82,0.82,1,1672722000000000000,3,106.95,106.16,106.99,105.85,106.99,108.6,108.76,108.76,0.02,,,0.82,0.77
O:LQD230106C00105500,2023-01-03,2023-01-06,LQD,C,105.5,2,0.28,0.28,-1.39,YES,0.28,0.26,0.28,0.26,0.28,0.28,2,1672722000000000000,3,106.95,106.16,106.99,105.85,106.99,108.6,108.76,108.76,0.02,,,0.28,0.26
O:LQD230106C00106000,2023-01-03,2023-01-06,LQD,C,106.0,100,0.17,0.17,-0.93,YES,0.17,0.16,0.17,0.16,0.17,0.17,1,1672722000000000000,3,106.95,106.16,106.99,105.85,106.99,108.6,108.76,108.76,0.02,,,0.17,0.16
O:LQD230106C00106500,2023-01-03,2023-01-06,LQD,C,106.5,2,0.12,0.12,-0.46,YES,0.12,0.11,0.12,0.11,0.12,0.12,1,1672722000000000000,3,106.95,106.16,106.99,105.85,106.99,108.6,108.76,108.76,0.02,,,0.12,0.11
O:LQD230106C00107000,2023-01-03,2023-01-06,LQD,C,107.0,15,0.08,0.08,0.01,NO,0.08,0.08,0.08,0.07,0.08,0.08,2,1672722000000000000,3,106.95,106.16,106.99,105.85,106.99,108.6,108.76,108.76,0.02,0.02,0.52,0.08,0.07
O:LQD230106C00107500,2023-01-03,2023-01-06,LQD,C,107.5,200,0.04,0.04,0.48,NO,0.04,0.04,0.04,0.04,0.04,0.04,1,1672722000000000000,3,106.95,106.16,106.99,105.85,106.99,108.6,108.76,108.76,0.02,0.05,0.16,0.04,0.04
O:LQD230106C00108000,2023-01-03,2023-01-06,LQD,C,108.0,18,0.04,0.03,0.94,NO,0.04,0.03,0.03,0.03,0.04,0.03,6,1672722000000000000,3,106.95,106.16,106.99,105.85,106.99,108.6,108.76,108.76,0.02,0.08,0.1,0.04,0.04
O:LQD230106C00108500,2023-01-03,2023-01-06,LQD,C,108.5,1,0.03,0.03,1.41,NO,0.03,0.03,0.03,0.03,0.03,0.03,1,1672722000000000000,3,106.95,106.16,106.99,105.85,106.99,108.6,108.76,108.76,0.02,0.1,0.07,0.03,0.03
O:LQD230106C00109000,2023-01-03,2023-01-06,LQD,C,109.0,1,0.02,0.02,1.88,NO,0.02,0.02,0.02,0.02,0.02,0.02,1,1672722000000000000,3,106.95,106.16,106.99,105.85,106.99,108.6,108.76,108.76,0.02,0.12,0.04,0.02,0.02
O:LQD230106C00110000,2023-01-03,2023-01-06,LQD,C,110.0,1,0.0,0.0,2.81,NO,0.0,0.0,0.0,0.0,0.0,0.0,1,1672722000000000000,3,106.95,106.16,106.99,105.85,106.99,108.6,108.76,108.76,0.02,0.13,0.01,0.0,0.0
O:LQD230113C00105000,2023-01-09,2023-01-13,LQD,C,105.0,15,1.06,1.06,-3.93,YES,1.06,0.97,1.06,0.97,1.06,1.06,1,1673240400000000000,4,108.44,109.03,109.29,108.34,109.29,110.47,110.89,110.89,0.02,,,1.06,0.97
O:LQD230113C00107000,2023-01-09,2023-01-13,LQD,C,107.0,2,0.52,0.52,-2.1,YES,0.52,0.47,0.52,0.47,0.52,0.52,2,1673240400000000000,4,108.44,109.03,109.29,108.34,109.29,110.47,110.89,110.89,0.02,,,0.52,0.48
O:LQD230113C00108000,2023-01-09,2023-01-13,LQD,C,108.0,1,0.32,0.32,-1.18,YES,0.32,0.3,0.32,0.3,0.32,0.32,1,1673240400000000000,4,108.44,109.03,109.29,108.34,109.29,110.47,110.89,110.89,0.02,,,0.32,0.29
O:LQD230113C00108500,2023-01-09,2023-01-13,LQD,C,108.5,1,0.17,0.17,-0.72,YES,0.17,0.15,0.17,0.15,0.17,0.17,1,1673240400000000000,4,108.44,109.03,109.29,108.34,109.29,110.47,110.89,110.89,0.02,,,0.17,0.16
O:LQD230113C00109000,2023-01-09,2023-01-13,LQD,C,109.0,278,0.16,0.2,-0.27,YES,0.18,0.16,0.16,0.15,0.2,0.16,13,1673240400000000000,4,108.44,109.03,109.29,108.34,109.29,110.47,110.89,110.89,0.02,,,0.18,0.18
O:LQD230113C00109500,2023-01-09,2023-01-13,LQD,C,109.5,250,0.12,0.12,0.19,NO,0.12,0.11,0.12,0.11,0.12,0.12,1,1673240400000000000,4,108.44,109.03,109.29,108.34,109.29,110.47,110.89,110.89,0.02,0.04,0.36,0.12,0.11
O:LQD230113C00110000,2023-01-09,2023-01-13,LQD,C,110.0,2,0.04,0.06,0.65,NO,0.05,0.04,0.04,0.03,0.06,0.04,2,1673240400000000000,4,108.44,109.03,109.29,108.34,109.29,110.47,110.89,110.89,0.02,0.06,0.14,0.05,0.05
O:LQD230113C00110500,2023-01-09,2023-01-13,LQD,C,110.5,2,0.03,0.03,1.11,NO,0.03,0.03,0.03,0.03,0.03,0.03,2,1673240400000000000,4,108.44,109.03,109.29,108.34,109.29,110.47,110.89,110.89,0.02,0.07,0.08,0.03,0.03
O:LQD230113C00113000,2023-01-09,2023-01-13,LQD,C,113.0,1,0.0,0.0,3.39,NO,0.0,0.0,0.0,0.0,0.0,0.0,1,1673240400000000000,4,108.44,109.03,109.29,108.34,109.29,110.47,110.89,110.89,0.02,0.14,0.01,0.0,0.0
O:LQDA230120C00005000,2023-01-17,2023-01-20,LQDA,C,5.0,18,0.35,0.35,-95.47,YES,0.35,0.32,0.35,0.32,0.35,0.35,1,1673931600000000000,3,110.01,110.07,110.41,109.92,110.41,110.55,110.68,110.68,0.02,,,0.35,0.32
O:LQDA230120C00007500,2023-01-17,2023-01-20,LQDA,C,7.5,9,0.02,0.02,-93.21,YES,0.02,0.02,0.02,0.02,0.02,0.02,5,1673931600000000000,3,110.01,110.07,110.41,109.92,110.41,110.55,110.68,110.68,0.02,,,0.02,0.02
O:LQD230120C00104000,2023-01-17,2023-01-20,LQD,C,104.0,4,1.49,1.54,-5.81,YES,1.51,1.37,1.49,1.35,1.54,1.49,2,1673931600000000000,3,110.01,110.07,110.41,109.92,110.41,110.55,110.68,110.68,0.02,,,1.51,1.39
O:LQD230120C00105000,2023-01-17,2023-01-20,LQD,C,105.0,2,1.32,1.32,-4.9,YES,1.32,1.2,1.32,1.2,1.32,1.32,2,1673931600000000000,3,110.01,110.07,110.41,109.92,110.41,110.55,110.68,110.68,0.02,,,1.32,1.2
O:LQD230120C00106000,2023-01-17,2023-01-20,LQD,C,106.0,130,1.03,1.02,-3.99,YES,1.02,0.93,1.01,0.92,1.03,1.01,6,1673931600000000000,3,110.01,110.07,110.41,109.92,110.41,110.55,110.68,110.68,0.02,,,1.02,0.93
O:LQD230120C00108000,2023-01-17,2023-01-20,LQD,C,108.0,50,0.54,0.58,-2.18,YES,0.56,0.5,0.54,0.48,0.58,0.54,4,1673931600000000000,3,110.01,110.07,110.41,109.92,110.41,110.55,110.68,110.68,0.02,,,0.56,0.53
O:LQD230120C00109000,2023-01-17,2023-01-20,LQD,C,109.0,111,0.33,0.34,-1.28,YES,0.34,0.31,0.33,0.3,0.35,0.33,11,1673931600000000000,3,110.01,110.07,110.41,109.92,110.41,110.55,110.68,110.68,0.02,,,0.34,0.32
O:LQD230120C00109500,2023-01-17,2023-01-20,LQD,C,109.5,1,0.24,0.24,-0.82,YES,0.24,0.22,0.24,0.22,0.24,0.24,1,1673931600000000000,3,110.01,110.07,110.41,109.92,110.41,110.55,110.68,110.68,0.02,,,0.24,0.22
O:LQD230120C00110000,2023-01-17,2023-01-20,LQD,C,110.0,22,0.19,0.18,-0.37,YES,0.18,0.17,0.18,0.16,0.2,0.18,3,1673931600000000000,3,110.01,110.07,110.41,109.92,110.41,110.55,110.68,110.68,0.02,,,0.18,0.18
O:LQD230120C00110500,2023-01-17,2023-01-20,LQD,C,110.5,311,0.1,0.1,0.08,NO,0.1,0.09,0.1,0.09,0.1,0.1,23,1673931600000000000,3,110.01,110.07,110.41,109.92,110.41,110.55,110.68,110.68,0.02,0.03,0.41,0.1,0.09
