ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm,mid_price,high_yield_pct
O:LQD220107C00131500,2022-01-03,2022-01-07,LQD,C,131.5,7,0.12,0.12,-0.22,YES,0.12,0.09,0.12,0.09,0.12,0.12,1,1641186000000000000,4,131.78,131.11,131.79,131.11,131.79,129.72,130.2,130.2,0.02,,,0.12,0.09
O:LQD220107C00132000,2022-01-03,2022-01-07,LQD,C,132.0,49,0.08,0.08,0.16,NO,0.08,0.06,0.08,0.06,0.08,0.08,4,1641186000000000000,4,131.78,131.11,131.79,131.11,131.79,129.72,130.2,130.2,0.02,0.03,0.32,0.08,0.06
O:LQD220107C00132500,2022-01-03,2022-01-07,LQD,C,132.5,2,0.04,0.04,0.54,NO,0.04,0.03,0.04,0.03,0.04,0.04,1,1641186000000000000,4,131.78,131.11,131.79,131.11,131.79,129.72,130.2,130.2,0.02,0.04,0.12,0.04,0.03
O:LQD220107C00133000,2022-01-03,2022-01-07,LQD,C,133.0,20,0.03,0.01,0.92,NO,0.02,0.02,0.01,0.01,0.04,0.01,4,1641186000000000000,4,131.78,131.11,131.79,131.11,131.79,129.72,130.2,130.2,0.02,0.06,0.06,0.02,0.03
O:LQD220114C00129500,2022-01-10,2022-01-14,LQD,C,129.5,1,0.11,0.11,-0.13,YES,0.11,0.09,0.11,0.09,0.11,0.11,1,1641790800000000000,4,129.4,129.6,129.68,129.03,129.68,129.16,129.73,129.73,0.02,,,0.11,0.08
O:LQD220114C00130000,2022-01-10,2022-01-14,LQD,C,130.0,69,0.05,0.08,0.25,NO,0.06,0.05,0.04,0.03,0.08,0.04,11,1641790800000000000,4,129.4,129.6,129.68,129.03,129.68,129.16,129.73,129.73,0.02,0.03,0.24,0.06,0.06
O:LQD220114C00130500,2022-01-10,2022-01-14,LQD,C,130.5,2,0.04,0.04,0.64,NO,0.04,0.03,0.04,0.03,0.04,0.04,1,1641790800000000000,4,129.4,129.6,129.68,129.03,129.68,129.16,129.73,129.73,0.02,0.05,0.12,0.04,0.03
O:LQD220114C00131500,2022-01-10,2022-01-14,LQD,C,131.5,1,0.03,0.03,1.41,NO,0.03,0.02,0.03,0.02,0.03,0.03,1,1641790800000000000,4,129.4,129.6,129.68,129.03,129.68,129.16,129.73,129.73,0.02,0.08,0.06,0.03,0.02
O:LQD220114C00134000,2022-01-10,2022-01-14,LQD,C,134.0,2,0.0,0.0,3.34,NO,0.0,0.0,0.0,0.0,0.0,0.0,1,1641790800000000000,4,129.4,129.6,129.68,129.03,129.68,129.16,129.73,129.73,0.02,0.13,0.01,0.0,0.0
O:LQDA220121C00005000,2022-01-18,2022-01-21,LQDA,C,5.0,4,0.22,0.28,-96.11,YES,0.25,0.19,0.22,0.18,0.28,0.22,2,1642482000000000000,3,128.42,127.93,128.49,127.87,128.49,128.9,129.11,129.11,0.02,,,0.25,0.22
