ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,otm_pct,ITM,mid_price,premium,premium_yield_pct,premium_low,premium_yield_pct_low,fedfunds_rate,implied_volatility,probability_itm
O:LQD190118C00111000,2019-01-14,2019-01-18,LQD,C,7.4,1,0.66,0.66,0.66,0.66,1,1547442000000000000,4,113.62,113.45,113.79,113.42,113.79,114.17,114.28,114.28,-75.61,YES,0.66,0.66,0.58,0.66,0.58,0.02,,
O:LQD190118C00112000,2019-01-14,2019-01-18,LQD,C,7.47,1,0.41,0.41,0.41,0.41,1,1547442000000000000,4,113.62,113.45,113.79,113.42,113.79,114.17,114.28,114.28,-75.39,YES,0.41,0.41,0.36,0.41,0.36,0.02,,
O:LQD190118C00113000,2019-01-14,2019-01-18,LQD,C,7.53,7,0.17,0.15,0.17,0.15,3,1547442000000000000,4,113.62,113.45,113.79,113.42,113.79,114.17,114.28,114.28,-75.17,YES,0.16,0.16,0.14,0.15,0.13,0.02,,
O:LQD190315C00116000,2019-03-11,2019-03-15,LQD,C,7.73,20,0.14,0.14,0.14,0.14,2,1552276800000000000,4,116.39,116.54,116.54,116.31,116.54,116.86,117.02,117.02,-75.12,YES,0.14,0.14,0.12,0.14,0.12,0.02,,
O:LQD190517C00116000,2019-05-13,2019-05-17,LQD,C,7.73,40,0.75,0.76,0.76,0.75,3,1557720000000000000,4,118.86,118.93,119.13,118.78,119.13,119.25,119.44,119.44,-75.66,YES,0.75,0.75,0.63,0.75,0.63,0.02,,
O:LQD190517C00119000,2019-05-13,2019-05-17,LQD,C,7.93,11,0.08,0.08,0.08,0.08,2,1557720000000000000,4,118.86,118.93,119.13,118.78,119.13,119.25,119.44,119.44,-75.03,YES,0.08,0.08,0.06,0.08,0.06,0.02,,
O:LQD190621C00121000,2019-06-17,2019-06-21,LQD,C,8.07,2,0.24,0.24,0.24,0.24,2,1560744000000000000,4,121.69,121.83,121.93,121.62,121.93,123.64,123.89,123.89,-75.19,YES,0.24,0.24,0.19,0.24,0.19,0.02,,
O:LQD190621C00122000,2019-06-17,2019-06-21,LQD,C,8.13,15,0.06,0.07,0.07,0.06,2,1560744000000000000,4,121.69,121.83,121.93,121.62,121.93,123.64,123.89,123.89,-74.99,YES,0.07,0.07,0.05,0.06,0.05,0.02,,
O:LQD190621C00123000,2019-06-17,2019-06-21,LQD,C,8.2,15,0.02,0.02,0.02,0.02,2,1560744000000000000,4,121.69,121.83,121.93,121.62,121.93,123.64,123.89,123.89,-74.78,YES,0.02,0.02,0.01,0.02,0.01,0.02,,
O:LQD190816C00125000,2019-08-12,2019-08-16,LQD,C,8.33,6,0.39,0.39,0.39,0.39,1,1565582400000000000,4,126.3,126.73,126.83,126.26,126.83,127.85,127.9,127.9,-75.36,YES,0.39,0.39,0.31,0.39,0.31,0.02,,
O:LQD190816C00126000,2019-08-12,2019-08-16,LQD,C,8.4,6,0.17,0.17,0.17,0.17,1,1565582400000000000,4,126.3,126.73,126.83,126.26,126.83,127.85,127.9,127.9,-75.16,YES,0.17,0.17,0.13,0.17,0.13,0.02,,
O:LQD190816C00127000,2019-08-12,2019-08-16,LQD,C,8.47,3,0.04,0.08,0.08,0.04,3,1565582400000000000,4,126.3,126.73,126.83,126.26,126.83,127.85,127.9,127.9,-74.97,YES,0.06,0.06,0.04,0.04,0.03,0.02,,
O:LQD190816C00128000,2019-08-12,2019-08-16,LQD,C,8.53,6,0.01,0.01,0.01,0.01,3,1565582400000000000,4,126.3,126.73,126.83,126.26,126.83,127.85,127.9,127.9,-74.77,YES,0.01,0.01,0.01,0.01,0.01,0.02,,
O:LQD190920C00125000,2019-09-16,2019-09-20,LQD,C,8.33,7,0.18,0.18,0.18,0.18,2,1568606400000000000,4,125.13,125.31,125.43,124.93,125.43,127.17,127.23,127.23,-75.09,YES,0.18,0.18,0.14,0.18,0.14,0.02,,
O:LQD190920C00126000,2019-09-16,2019-09-20,LQD,C,8.4,600,0.05,0.05,0.05,0.05,2,1568606400000000000,4,125.13,125.31,125.43,124.93,125.43,127.17,127.23,127.23,-74.89,YES,0.05,0.05,0.04,0.05,0.04,0.02,,
O:LQD191018C00127000,2019-10-14,2019-10-18,LQD,C,8.47,355,0.11,0.11,0.11,0.1,13,1571025600000000000,4,126.9,127.0,127.05,126.7,127.05,127.14,127.34,127.34,-75.01,YES,0.11,0.11,0.08,0.1,0.08,0.02,,
O:LQD191018C00128000,2019-10-14,2019-10-18,LQD,C,8.53,20,0.02,0.02,0.02,0.02,5,1571025600000000000,4,126.9,127.0,127.05,126.7,127.05,127.14,127.34,127.34,-74.81,YES,0.02,0.02,0.02,0.02,0.02,0.02,,
O:LQD191115C00126000,2019-11-11,2019-11-15,LQD,C,8.4,5,0.06,0.06,0.06,0.06,1,1573448400000000000,4,125.96,125.75,125.99,125.66,125.99,126.85,126.99,126.99,-75.0,YES,0.06,0.06,0.05,0.06,0.05,0.02,,
O:LQD191115C00129000,2019-11-11,2019-11-15,LQD,C,8.6,8,0.02,0.02,0.02,0.02,1,1573448400000000000,4,125.96,125.75,125.99,125.66,125.99,126.85,126.99,126.99,-74.4,YES,0.02,0.02,0.01,0.02,0.01,0.02,,
O:LQD191115C00130000,2019-11-11,2019-11-15,LQD,C,8.67,8,0.01,0.01,0.01,0.01,1,1573448400000000000,4,125.96,125.75,125.99,125.66,125.99,126.85,126.99,126.99,-74.2,YES,0.01,0.01,0.01,0.01,0.01,0.02,,
O:LQD191220C00125000,2019-12-16,2019-12-20,LQD,C,8.33,18,0.8,0.8,0.8,0.8,1,1576472400000000000,4,128.24,128.1,128.31,127.97,128.31,127.66,127.73,127.73,-75.64,YES,0.8,0.8,0.62,0.8,0.62,0.02,,
O:LQD191220C00128000,2019-12-16,2019-12-20,LQD,C,8.53,34,0.1,0.08,0.1,0.06,7,1576472400000000000,4,128.24,128.1,128.31,127.97,128.31,127.66,127.73,127.73,-75.06,YES,0.08,0.08,0.06,0.06,0.05,0.02,,
