ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility
O:XLK161021C00047000,2016-09-23,2016-10-21,XLK,C,47.0,22.0,1.12,1.03,-5.05,YES,1.03,2.19,1.12,2.38,1.12,1.03,3.0,1474603200000000000,28.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161021C00048000,2016-09-23,2016-10-21,XLK,C,48.0,186.0,0.48,0.42,-3.03,YES,0.42,0.88,0.48,1.0,0.49,0.4,13.0,1474603200000000000,28.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161021C00048500,2016-09-23,2016-10-21,XLK,C,48.5,314.0,0.26,0.2,-2.02,YES,0.2,0.41,0.26,0.54,0.26,0.2,11.0,1474603200000000000,28.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161021C00049000,2016-09-23,2016-10-21,XLK,C,49.0,11.0,0.12,0.1,-1.01,YES,0.1,0.2,0.12,0.24,0.12,0.1,2.0,1474603200000000000,28.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161118C00046000,2016-10-17,2016-11-18,XLK,C,46.0,4.0,1.81,1.81,-7.07,YES,1.81,3.93,1.81,3.93,1.81,1.81,1.0,1476676800000000000,32.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161118C00047000,2016-10-17,2016-11-18,XLK,C,47.0,35.0,1.06,1.06,-5.05,YES,1.06,2.26,1.06,2.26,1.16,1.06,16.0,1476676800000000000,32.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161118C00048000,2016-10-17,2016-11-18,XLK,C,48.0,41.0,0.55,0.51,-3.03,YES,0.51,1.06,0.55,1.15,0.57,0.51,17.0,1476676800000000000,32.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161118C00049000,2016-10-17,2016-11-18,XLK,C,49.0,10.0,0.17,0.17,-1.01,YES,0.17,0.35,0.17,0.35,0.17,0.17,1.0,1476676800000000000,32.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161118C00050000,2016-10-17,2016-11-18,XLK,C,50.0,3.0,0.04,0.04,1.01,NO,0.04,0.08,0.04,0.08,0.04,0.04,1.0,1476676800000000000,32.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161118C00046000,2016-10-18,2016-11-18,XLK,C,46.0,3.0,1.96,1.96,-7.07,YES,1.96,4.26,1.96,4.26,1.96,1.96,1.0,1476763200000000000,31.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161118C00047000,2016-10-18,2016-11-18,XLK,C,47.0,27.0,1.21,1.22,-5.05,YES,1.22,2.6,1.21,2.57,1.29,1.21,16.0,1476763200000000000,31.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161118C00048000,2016-10-18,2016-11-18,XLK,C,48.0,118.0,0.6,0.6,-3.03,YES,0.6,1.25,0.6,1.25,0.67,0.58,26.0,1476763200000000000,31.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161118C00049000,2016-10-18,2016-11-18,XLK,C,49.0,29.0,0.14,0.22,-1.01,YES,0.22,0.45,0.14,0.29,0.23,0.14,5.0,1476763200000000000,31.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161118C00051000,2016-10-18,2016-11-18,XLK,C,51.0,1.0,0.01,0.01,3.03,NO,0.01,0.02,0.01,0.02,0.01,0.01,1.0,1476763200000000000,31.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161118C00046000,2016-10-19,2016-11-18,XLK,C,46.0,2.0,1.93,1.94,-7.07,YES,1.94,4.22,1.93,4.2,1.94,1.93,2.0,1476849600000000000,30.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161118C00047000,2016-10-19,2016-11-18,XLK,C,47.0,37.0,1.14,1.21,-5.05,YES,1.21,2.57,1.14,2.43,1.22,1.14,17.0,1476849600000000000,30.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161118C00048000,2016-10-19,2016-11-18,XLK,C,48.0,80.0,0.57,0.56,-3.03,YES,0.56,1.17,0.57,1.19,0.58,0.55,20.0,1476849600000000000,30.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161118C00049000,2016-10-19,2016-11-18,XLK,C,49.0,2.0,0.18,0.18,-1.01,YES,0.18,0.37,0.18,0.37,0.18,0.18,1.0,1476849600000000000,30.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161118C00046000,2016-10-20,2016-11-18,XLK,C,46.0,4.0,1.83,1.77,-7.07,YES,1.77,3.85,1.83,3.98,1.83,1.71,4.0,1476936000000000000,29.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161118C00047000,2016-10-20,2016-11-18,XLK,C,47.0,225.0,1.02,1.03,-5.05,YES,1.03,2.19,1.02,2.17,1.06,0.95,30.0,1476936000000000000,29.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161118C00048000,2016-10-20,2016-11-18,XLK,C,48.0,266.0,0.53,0.46,-3.03,YES,0.46,0.96,0.53,1.1,0.53,0.4,31.0,1476936000000000000,29.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161118C00049000,2016-10-20,2016-11-18,XLK,C,49.0,718.0,0.15,0.14,-1.01,YES,0.14,0.29,0.15,0.31,0.15,0.11,37.0,1476936000000000000,29.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161118C00050000,2016-10-20,2016-11-18,XLK,C,50.0,2.0,0.03,0.03,1.01,NO,0.03,0.06,0.03,0.06,0.03,0.03,2.0,1476936000000000000,29.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161118C00052000,2016-10-20,2016-11-18,XLK,C,52.0,1.0,0.01,0.01,5.05,NO,0.01,0.02,0.01,0.02,0.01,0.01,1.0,1476936000000000000,29.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161118C00043000,2016-10-21,2016-11-18,XLK,C,43.0,13.0,4.55,4.55,-13.13,YES,4.55,10.58,4.55,10.58,4.55,4.55,1.0,1477022400000000000,28.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161118C00045000,2016-10-21,2016-11-18,XLK,C,45.0,1.0,2.66,2.66,-9.09,YES,2.66,5.91,2.66,5.91,2.66,2.66,1.0,1477022400000000000,28.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161118C00046000,2016-10-21,2016-11-18,XLK,C,46.0,14.0,1.76,1.82,-7.07,YES,1.82,3.96,1.76,3.83,1.85,1.76,3.0,1477022400000000000,28.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161118C00047000,2016-10-21,2016-11-18,XLK,C,47.0,1185.0,1.02,1.04,-5.05,YES,1.04,2.21,1.02,2.17,1.08,1.01,49.0,1477022400000000000,28.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161118C00048000,2016-10-21,2016-11-18,XLK,C,48.0,192.0,0.46,0.46,-3.03,YES,0.46,0.96,0.46,0.96,0.5,0.44,33.0,1477022400000000000,28.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161118C00049000,2016-10-21,2016-11-18,XLK,C,49.0,22.0,0.14,0.13,-1.01,YES,0.13,0.27,0.14,0.29,0.14,0.13,4.0,1477022400000000000,28.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.004,
O:XLK161216C00044000,2016-11-14,2016-12-16,XLK,C,44.0,305.0,2.39,2.44,-11.11,YES,2.44,5.55,2.39,5.43,2.44,2.39,81.0,1479099600000000000,32.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,
O:XLK161216C00045000,2016-11-14,2016-12-16,XLK,C,45.0,44.0,1.84,1.7,-9.09,YES,1.7,3.78,1.84,4.09,1.84,1.51,13.0,1479099600000000000,32.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,
O:XLK161216C00046000,2016-11-14,2016-12-16,XLK,C,46.0,1250.0,1.16,0.94,-7.07,YES,0.94,2.04,1.16,2.52,1.16,0.87,35.0,1479099600000000000,32.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,
O:XLK161216C00047000,2016-11-14,2016-12-16,XLK,C,47.0,69.0,0.53,0.45,-5.05,YES,0.45,0.96,0.53,1.13,0.53,0.4,10.0,1479099600000000000,32.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,
O:XLK161216C00048000,2016-11-14,2016-12-16,XLK,C,48.0,563.0,0.2,0.16,-3.03,YES,0.16,0.33,0.2,0.42,0.2,0.16,34.0,1479099600000000000,32.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,
O:XLK161216C00049000,2016-11-14,2016-12-16,XLK,C,49.0,3115.0,0.06,0.05,-1.01,YES,0.05,0.1,0.06,0.12,0.07,0.05,608.0,1479099600000000000,32.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,
O:XLK161216C00050000,2016-11-14,2016-12-16,XLK,C,50.0,4.0,0.03,0.01,1.01,NO,0.01,0.02,0.03,0.06,0.03,0.01,3.0,1479099600000000000,32.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,
O:XLK161216C00051000,2016-11-14,2016-12-16,XLK,C,51.0,4.0,0.01,0.01,3.03,NO,0.01,0.02,0.01,0.02,0.01,0.01,1.0,1479099600000000000,32.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,
