Metric,Value
Symbol,PLTR
Company Name,Palantir Technologies Inc.
Current Price,$177.49
Market Cap,$423.04B
Sector,Technology
Industry,Software - Infrastructure
Next Earnings Date,2026-02-02 16:00:00-05:00
Next EPS Estimate,$0.23
