Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-01-30 08:00:00-05:00,0.11,,
2025-10-28 07:00:00-04:00,0.08,0.1,23.01
2025-07-29 07:00:00-04:00,0.06,0.09,44.7
2025-04-29 07:00:00-04:00,0.03,0.06,93.87
2025-01-27 07:00:00-05:00,0.04,0.29,645.5
2024-10-29 07:00:00-04:00,0.04,0.05,15.16
2024-07-30 07:00:00-04:00,0.01,0.02,60.0
2024-04-29 07:00:00-04:00,,0.03,638.0
2024-01-29 07:00:00-05:00,0.04,0.04,23.09
2023-10-30 07:00:00-04:00,-0.09,-0.03,65.39
2023-07-31 07:00:00-04:00,-0.07,-0.06,14.2
2023-05-01 07:00:00-04:00,-0.09,-0.04,49.77
2023-01-30 07:00:00-05:00,-0.07,-0.04,44.93
2022-11-01 07:00:00-04:00,-0.07,-0.08,-17.46
2022-08-02 16:00:00-04:00,-0.1,-0.11,-8.54
2022-05-10 17:00:00-04:00,-0.13,-0.11,15.79
2022-03-01 16:00:00-05:00,-0.12,-0.12,3.77
2021-11-10 16:00:00-05:00,-0.13,-0.12,7.57
2021-08-12 16:00:00-04:00,-0.05,-0.48,-772.73
