Metric,Value
Symbol,CRM
Company Name,"Salesforce, Inc."
Current Price,$259.94
Market Cap,$247.46B
Sector,Technology
Industry,Software - Application
Next Earnings Date,2026-02-25 16:00:00-05:00
Next EPS Estimate,$3.05
