Metric,Value
Symbol,ADBE
Company Name,Adobe Inc.
Current Price,$333.95
Market Cap,$141.66B
Sector,Technology
Industry,Software - Application
Next Earnings Date,2026-03-12 17:00:00-04:00
Next EPS Estimate,$5.87
