Metric,Value
Symbol,MRK
Company Name,"Merck & Co., Inc."
Current Price,$110.53
Market Cap,$276.08B
Sector,Healthcare
Industry,Drug Manufacturers - General
Next Earnings Date,2026-02-03 08:00:00-05:00
Next EPS Estimate,$2.04
