Metric,Value
Symbol,XOM
Company Name,Exxon Mobil Corporation
Current Price,$124.61
Market Cap,$531.24B
Sector,Energy
Industry,Oil & Gas Integrated
Next Earnings Date,2026-01-30 08:00:00-05:00
Next EPS Estimate,$1.70
