Metric,Value
Symbol,UBER
Company Name,"Uber Technologies, Inc."
Current Price,$85.44
Market Cap,$178.18B
Sector,Technology
Industry,Software - Application
Next Earnings Date,2026-02-04 08:00:00-05:00
Next EPS Estimate,$0.80
