Metric,Value
Symbol,META
Company Name,"Meta Platforms, Inc."
Current Price,$653.06
Market Cap,$1646.06B
Sector,Communication Services
Industry,Internet Content & Information
Next Earnings Date,2026-01-28 16:00:00-05:00
Next EPS Estimate,$8.16
