Metric,Value
Symbol,ORCL
Company Name,Oracle Corporation
Current Price,$198.52
Market Cap,$570.37B
Sector,Technology
Industry,Software - Infrastructure
Next Earnings Date,2026-03-09 17:00:00-04:00
Next EPS Estimate,$1.71
