,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Earnings From Equity Interest Net Of Tax,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-09-30,0.0,0.192571,254090000.0,168285000.0,20607000.0,4550417000.0,254090000.0,233483000.0,-24931000.0,24931000.0,168285000.0,168285000.0,4835534000.0,182256000.0,663235000.0,595624000.0,0.26,0.28,169965000.0,1680000.0,168285000.0,168285000.0,168285000.0,168285000.0,-106000.0,40161000.0,208552000.0,51227000.0,51227000.0,-24931000.0,24931000.0,182256000.0,285117000.0,173314000.0,111803000.0,47928000.0,63875000.0,63875000.0,467373000.0,4550417000.0,5017790000.0,5017790000.0
2025-06-30,0.0,0.086685,263643000.0,195154000.0,18636000.0,5212809000.0,263643000.0,245007000.0,-22282000.0,22282000.0,195154000.0,195154000.0,5528520000.0,228391000.0,624671000.0,597627000.0,0.31,0.33,193377000.0,,195154000.0,195154000.0,195154000.0,195154000.0,-8264000.0,19307000.0,222725000.0,16616000.0,16616000.0,-22282000.0,22282000.0,228391000.0,315711000.0,183221000.0,132490000.0,64739000.0,67751000.0,67751000.0,544102000.0,5212809000.0,5756911000.0,5756911000.0
2025-03-31,0.0,0.051,139212000.0,108777000.0,10745000.0,4159695000.0,139212000.0,128467000.0,-13402000.0,13402000.0,108777000.0,108777000.0,4453133000.0,146780000.0,621809000.0,595041000.0,0.17,0.18,108777000.0,0.0,108777000.0,108777000.0,108777000.0,108777000.0,-445000.0,5843000.0,115065000.0,-18313000.0,-18313000.0,-13402000.0,13402000.0,146780000.0,293438000.0,162857000.0,130581000.0,59978000.0,70603000.0,70603000.0,440218000.0,4159695000.0,4599913000.0,4599913000.0
2024-12-31,0.0,0.152,398387000.0,320596000.0,16804000.0,5007940000.0,398387000.0,381583000.0,-6535000.0,6535000.0,320596000.0,320596000.0,5309338000.0,368624000.0,636047000.0,592507000.0,0.51,0.54,321706000.0,1110000.0,320596000.0,320596000.0,320596000.0,320596000.0,2517000.0,56969000.0,375048000.0,12959000.0,12959000.0,-6535000.0,6535000.0,368624000.0,301398000.0,158229000.0,143169000.0,79568000.0,63601000.0,63601000.0,670022000.0,5007940000.0,5677962000.0,5677962000.0
2024-09-30,0.0,0.14974,528591000.0,424327000.0,12159000.0,5161676000.0,528591000.0,516432000.0,-17354000.0,17354000.0,424327000.0,424327000.0,5428057000.0,509199000.0,639148000.0,589558000.0,0.67,0.72,427076000.0,2749000.0,424327000.0,424327000.0,424327000.0,424327000.0,-19000.0,74732000.0,499078000.0,7233000.0,7233000.0,-17354000.0,17354000.0,509199000.0,266381000.0,132243000.0,134138000.0,68854000.0,65284000.0,65284000.0,775580000.0,5161676000.0,5937256000.0,5937256000.0
2024-06-30,,,,,,,,,,,,,,,,,,,,1095000.0,,,,,,,,,,,,,,,,,,,,,,
