Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-02-10 08:00:00-05:00,2.75,,
2025-11-04 06:00:00-05:00,2.13,3.28,53.63
2025-07-29 06:00:00-04:00,2.02,-0.42,-120.78
2025-04-29 06:00:00-04:00,2.33,1.07,-54.02
2025-02-04 06:00:00-05:00,2.06,1.76,-14.67
2024-11-12 16:00:00-05:00,1.66,1.45,-12.85
2024-07-23 06:00:00-04:00,1.01,1.33,31.52
2024-04-23 06:00:00-04:00,0.65,0.97,48.53
2024-02-06 06:00:00-05:00,-0.26,-0.36,-36.31
2023-10-24 06:00:00-04:00,-0.2,0.33,262.23
2023-07-25 06:00:00-04:00,-0.63,-1.55,-145.32
2023-04-25 06:00:00-04:00,-0.82,-1.16,-42.09
2023-01-31 06:00:00-05:00,-1.28,-1.4,-9.43
2022-10-25 16:00:00-04:00,-0.83,-0.86,-3.18
2022-07-27 06:00:00-04:00,-0.6,-0.65,-8.62
2022-04-27 06:00:00-04:00,-0.21,0.21,198.57
2022-02-02 16:00:00-05:00,-0.44,-0.2,54.49
2021-10-27 06:00:00-04:00,-0.14,0.01,107.12
2021-07-28 06:00:00-04:00,-0.44,-0.1,77.1
2021-04-28 06:00:00-04:00,-0.31,-0.25,19.37
2021-02-03 06:00:00-05:00,-0.52,-0.66,-26.87
2020-10-29 06:00:00-04:00,-0.43,-0.53,-22.29
2020-07-29 06:00:00-04:00,-0.47,-1.91,-304.34
2020-04-29 07:00:00-04:00,-0.4,,100.0
2020-02-05 06:00:00-05:00,-0.28,-1.14,-310.74
