Metric,Value
Symbol,SPOT
Company Name,Spotify Technology S.A.
Current Price,$539.37
Market Cap,$111.05B
Sector,Communication Services
Industry,Internet Content & Information
Next Earnings Date,2026-02-10 08:00:00-05:00
Next EPS Estimate,$2.75
