Metric,Value
Symbol,COST
Company Name,Costco Wholesale Corporation
Current Price,$924.88
Market Cap,$410.61B
Sector,Consumer Defensive
Industry,Discount Stores
Next Earnings Date,2026-03-05 16:00:00-05:00
Next EPS Estimate,$4.51
