Metric,Value
Symbol,TSLA
Company Name,"Tesla, Inc."
Current Price,$445.01
Market Cap,$1480.02B
Sector,Consumer Cyclical
Industry,Auto Manufacturers
Next Earnings Date,2026-01-28 16:00:00-05:00
Next EPS Estimate,$0.43
