Metric,Value
Symbol,CRCL
Company Name,Circle Internet Group
Current Price,$82.9
Market Cap,$21.09B
Sector,Financial Services
Industry,Capital Markets
Next Earnings Date,2026-03-26 09:00:00-04:00
Next EPS Estimate,$0.18
