Metric,Value
Symbol,WMT
Company Name,Walmart Inc.
Current Price,$114.53
Market Cap,$913.13B
Sector,Consumer Defensive
Industry,Discount Stores
Next Earnings Date,2026-02-19 08:00:00-05:00
Next EPS Estimate,$0.72
