Metric,Value
Symbol,SOFI
Company Name,"SoFi Technologies, Inc."
Current Price,$27.4
Market Cap,$34.62B
Sector,Financial Services
Industry,Credit Services
Next Earnings Date,2026-01-30 08:00:00-05:00
Next EPS Estimate,$0.11
