Metric,Value
Symbol,MU
Company Name,"Micron Technology, Inc."
Current Price,$345.09
Market Cap,$388.40B
Sector,Technology
Industry,Semiconductors
Next Earnings Date,2026-03-18 17:00:00-04:00
Next EPS Estimate,$8.02
