Metric,Value
Symbol,AMAT
Company Name,"Applied Materials, Inc."
Current Price,$301.18
Market Cap,$239.93B
Sector,Technology
Industry,Semiconductor Equipment & Materials
Next Earnings Date,2026-02-12 16:00:00-05:00
Next EPS Estimate,$2.21
