Metric,Value
Symbol,HOOD
Company Name,"Robinhood Markets, Inc."
Current Price,$115.27
Market Cap,$103.65B
Sector,Financial Services
Industry,Capital Markets
Next Earnings Date,2026-02-10 16:00:00-05:00
Next EPS Estimate,$0.60
