Metric,Value
Symbol,COIN
Company Name,"Coinbase Global, Inc."
Current Price,$240.78
Market Cap,$64.93B
Sector,Financial Services
Industry,Financial Data & Stock Exchanges
Next Earnings Date,2026-02-19 16:00:00-05:00
Next EPS Estimate,$1.18
