Metric,Value
Symbol,LRCX
Company Name,Lam Research Corporation
Current Price,$218.36
Market Cap,$275.36B
Sector,Technology
Industry,Semiconductor Equipment & Materials
Next Earnings Date,2026-01-28 16:00:00-05:00
Next EPS Estimate,$1.17
