Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-03-10 17:00:00-04:00,1.1,,
2025-12-02 16:00:00-05:00,0.94,0.96,1.98
2025-08-27 16:00:00-04:00,0.83,0.93,12.05
2025-06-03 16:00:00-04:00,0.66,0.73,10.62
2025-03-04 16:00:00-05:00,0.86,1.03,19.85
2024-11-26 16:00:00-05:00,0.81,0.93,14.94
2024-08-28 16:00:00-04:00,0.97,1.04,7.74
2024-06-04 16:00:00-04:00,0.89,0.93,4.38
2024-03-05 16:00:00-05:00,0.82,0.95,15.29
2023-11-28 16:00:00-05:00,0.74,0.82,10.86
2023-08-30 16:00:00-04:00,0.56,0.74,32.61
2023-05-31 16:00:00-04:00,0.5,0.57,13.65
2023-03-07 16:00:00-05:00,0.43,0.47,10.45
2022-11-29 16:00:00-05:00,0.32,0.4,26.51
2022-08-30 16:00:00-04:00,0.27,0.36,31.87
2022-06-02 16:00:00-04:00,0.23,0.31,33.21
2022-03-09 16:00:00-05:00,0.2,0.3,47.93
2021-12-01 16:00:00-05:00,0.1,0.17,72.71
2021-08-31 16:00:00-04:00,0.09,0.11,28.93
2021-06-03 16:00:00-04:00,0.06,0.1,74.06
2021-03-16 16:00:00-04:00,0.08,0.13,53.37
2020-12-02 16:00:00-05:00,,0.08,18281.82
2020-09-01 20:00:00-04:00,-0.01,0.03,488.6
2020-06-02 16:00:00-04:00,-0.06,0.02,132.59
2020-03-19 16:00:00-04:00,-0.08,-0.02,76.3
