Metric,Value
Symbol,AMZN
Company Name,"Amazon.com, Inc."
Current Price,$247.38
Market Cap,$2644.55B
Sector,Consumer Cyclical
Industry,Internet Retail
Next Earnings Date,2026-02-05 16:00:00-05:00
Next EPS Estimate,$1.94
