Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-01-29 16:00:00-05:00,2.67,,
2025-10-30 16:00:00-04:00,1.77,1.85,4.47
2025-07-31 16:00:00-04:00,1.43,1.57,10.12
2025-05-01 16:00:00-04:00,1.63,1.65,1.5
2025-01-30 16:00:00-05:00,2.35,2.4,2.26
2024-10-31 16:00:00-04:00,0.95,0.97,2.48
2024-08-01 16:00:00-04:00,1.34,1.4,4.3
2024-05-02 16:00:00-04:00,1.5,1.53,2.05
2024-02-01 16:00:00-05:00,2.11,2.18,3.55
2023-11-02 16:00:00-04:00,1.39,1.46,4.82
2023-08-03 16:00:00-04:00,1.19,1.26,5.47
2023-05-04 16:00:00-04:00,1.43,1.52,6.28
2023-02-02 16:00:00-05:00,1.95,1.88,-3.67
2022-10-27 16:00:00-04:00,1.27,1.29,1.44
2022-07-28 16:00:00-04:00,1.15,1.2,3.93
2022-04-28 16:00:00-04:00,1.43,1.52,6.3
2022-01-27 16:00:00-05:00,1.89,2.1,11.2
2021-10-28 16:00:00-04:00,1.24,1.24,0.17
2021-07-27 16:00:00-04:00,1.01,1.3,28.56
2021-04-28 16:00:00-04:00,0.99,1.4,41.59
2021-01-27 16:00:00-05:00,1.42,1.68,18.67
2020-10-29 16:00:00-04:00,0.7,0.73,4.48
2020-07-30 16:00:00-04:00,0.52,0.65,24.47
2020-04-30 17:00:00-04:00,0.56,0.64,12.93
2020-01-28 16:00:00-05:00,1.13,1.25,9.97
