ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm
O:GOOG200221C01495000,2020-01-23,2020-02-21,GOOG,C,74.75,28.0,1.88,2.09,0.56,NO,2.09,2.8,1.88,2.51,2.14,1.88,6.0,1579755600000000000,29.0,Monthly,74.38,74.33,74.78,74.1,74.33,74.33,74.78,74.33,0.0155,0.2687,0.4618
O:GOOG200221C01500000,2020-01-23,2020-02-21,GOOG,C,75.0,54.0,1.92,2.01,0.9,NO,2.01,2.68,1.92,2.51,2.05,1.89,19.0,1579755600000000000,29.0,Monthly,74.38,74.33,74.78,74.1,74.33,74.33,74.78,74.33,0.0155,0.2727,0.4447
O:GOOG200221C01505000,2020-01-23,2020-02-21,GOOG,C,75.25,2.0,1.73,1.85,1.23,NO,1.85,2.45,1.73,2.3,1.85,1.73,2.0,1579755600000000000,29.0,Monthly,74.38,74.33,74.78,74.1,74.33,74.33,74.78,74.33,0.0155,0.2665,0.4266
O:GOOG200221C01520000,2020-01-23,2020-02-21,GOOG,C,76.0,2.0,1.58,1.54,2.24,NO,1.54,2.03,1.58,2.03,1.58,1.54,2.0,1579755600000000000,29.0,Monthly,74.38,74.33,74.78,74.1,74.33,74.33,74.78,74.33,0.0155,0.2653,0.3752
O:GOOG200221C01530000,2020-01-23,2020-02-21,GOOG,C,76.5,29.0,1.27,1.38,2.92,NO,1.38,1.8,1.27,1.67,1.38,1.27,6.0,1579755600000000000,29.0,Monthly,74.38,74.33,74.78,74.1,74.33,74.33,74.78,74.33,0.0155,0.2677,0.3436
O:GOOG200221C01540000,2020-01-23,2020-02-21,GOOG,C,77.0,1.0,1.06,1.06,3.59,NO,1.06,1.37,1.06,1.37,1.06,1.06,1.0,1579755600000000000,29.0,Monthly,74.38,74.33,74.78,74.1,74.33,74.33,74.78,74.33,0.0155,0.2472,0.3003
O:GOOG200221C01550000,2020-01-23,2020-02-21,GOOG,C,77.5,10.0,0.98,1.03,4.26,NO,1.03,1.33,0.98,1.24,1.06,0.96,6.0,1579755600000000000,29.0,Monthly,74.38,74.33,74.78,74.1,74.33,74.33,74.78,74.33,0.0155,0.2626,0.2794
O:GOOG200221C01560000,2020-01-23,2020-02-21,GOOG,C,78.0,9.0,0.84,0.89,4.93,NO,0.89,1.14,0.84,1.08,0.89,0.84,3.0,1579755600000000000,29.0,Monthly,74.38,74.33,74.78,74.1,74.33,74.33,74.78,74.33,0.0155,0.2615,0.2502
O:GOOG200221C01570000,2020-01-23,2020-02-21,GOOG,C,78.5,3.0,0.77,0.77,5.61,NO,0.77,0.98,0.77,0.98,0.77,0.77,1.0,1579755600000000000,29.0,Monthly,74.38,74.33,74.78,74.1,74.33,74.33,74.78,74.33,0.0155,0.2612,0.2232
O:GOOG200221C01590000,2020-01-23,2020-02-21,GOOG,C,79.5,10.0,0.57,0.57,6.95,NO,0.57,0.72,0.57,0.72,0.57,0.57,2.0,1579755600000000000,29.0,Monthly,74.38,74.33,74.78,74.1,74.33,74.33,74.78,74.33,0.0155,0.261,0.1751
O:GOOG200221C01600000,2020-01-23,2020-02-21,GOOG,C,80.0,32.0,0.43,0.49,7.62,NO,0.49,0.62,0.43,0.54,0.49,0.43,4.0,1579755600000000000,29.0,Monthly,74.38,74.33,74.78,74.1,74.33,74.33,74.78,74.33,0.0155,0.2614,0.1544
O:GOOG200221C01610000,2020-01-23,2020-02-21,GOOG,C,80.5,45.0,0.3,0.42,8.3,NO,0.42,0.52,0.3,0.3,0.42,0.25,10.0,1579755600000000000,29.0,Monthly,74.38,74.33,74.78,74.1,74.33,74.33,74.78,74.33,0.0155,0.2618,0.1355
O:GOOG200221C01620000,2020-01-23,2020-02-21,GOOG,C,81.0,1.0,0.34,0.34,8.97,NO,0.34,0.43,0.34,0.43,0.34,0.34,1.0,1579755600000000000,29.0,Monthly,74.38,74.33,74.78,74.1,74.33,74.33,74.78,74.33,0.0155,0.258,0.1149
O:GOOG200221C01630000,2020-01-23,2020-02-21,GOOG,C,81.5,4.0,0.28,0.26,9.64,NO,0.26,0.33,0.28,0.33,0.28,0.26,2.0,1579755600000000000,29.0,Monthly,74.38,74.33,74.78,74.1,74.33,74.33,74.78,74.33,0.0155,0.2513,0.0937
O:GOOG200221C01640000,2020-01-23,2020-02-21,GOOG,C,82.0,3.0,0.22,0.22,10.32,NO,0.22,0.26,0.22,0.26,0.22,0.22,3.0,1579755600000000000,29.0,Monthly,74.38,74.33,74.78,74.1,74.33,74.33,74.78,74.33,0.0155,0.2522,0.0808
O:GOOG200221C01660000,2020-01-23,2020-02-21,GOOG,C,83.0,17.0,0.16,0.18,11.66,NO,0.18,0.22,0.16,0.19,0.19,0.16,12.0,1579755600000000000,29.0,Monthly,74.38,74.33,74.78,74.1,74.33,74.33,74.78,74.33,0.0155,0.2624,0.0653
O:GOOG200221C01680000,2020-01-23,2020-02-21,GOOG,C,84.0,127.0,0.12,0.14,13.01,NO,0.14,0.16,0.12,0.14,0.14,0.12,41.0,1579755600000000000,29.0,Monthly,74.38,74.33,74.78,74.1,74.33,74.33,74.78,74.33,0.0155,0.2689,0.051
O:GOOG200221C01690000,2020-01-23,2020-02-21,GOOG,C,84.5,11.0,0.11,0.11,13.68,NO,0.11,0.12,0.11,0.12,0.11,0.11,2.0,1579755600000000000,29.0,Monthly,74.38,74.33,74.78,74.1,74.33,74.33,74.78,74.33,0.0155,0.2659,0.0416
O:GOOG200221C01700000,2020-01-23,2020-02-21,GOOG,C,85.0,11.0,0.08,0.1,14.35,NO,0.1,0.12,0.08,0.09,0.1,0.08,4.0,1579755600000000000,29.0,Monthly,74.38,74.33,74.78,74.1,74.33,74.33,74.78,74.33,0.0155,0.2707,0.0375
O:GOOG200221C01760000,2020-01-23,2020-02-21,GOOG,C,88.0,18.0,0.04,0.04,18.39,NO,0.04,0.05,0.04,0.05,0.04,0.04,6.0,1579755600000000000,29.0,Monthly,74.38,74.33,74.78,74.1,74.33,74.33,74.78,74.33,0.0155,0.2814,0.0157
O:GOOG200221C01800000,2020-01-23,2020-02-21,GOOG,C,90.0,1.0,0.03,0.03,21.08,NO,0.03,0.04,0.03,0.04,0.03,0.03,1.0,1579755600000000000,29.0,Monthly,74.38,74.33,74.78,74.1,74.33,74.33,74.78,74.33,0.0155,0.3007,0.0112
O:GOOG200221C01880000,2020-01-23,2020-02-21,GOOG,C,94.0,3.0,0.01,0.01,26.46,NO,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1579755600000000000,29.0,Monthly,74.38,74.33,74.78,74.1,74.33,74.33,74.78,74.33,0.0155,0.3155,0.0038
O:GOOG200221C01960000,2020-01-23,2020-02-21,GOOG,C,98.0,10.0,0.01,0.01,31.84,NO,0.01,0.01,0.01,0.01,0.01,0.01,2.0,1579755600000000000,29.0,Monthly,74.38,74.33,74.78,74.1,74.33,74.33,74.78,74.33,0.0155,0.3647,0.0032
O:GOOG200221C01100000,2020-01-24,2020-02-21,GOOG,C,55.0,5.0,19.31,19.31,-25.0,YES,19.31,35.12,19.31,35.12,19.31,19.31,1.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.8844,0.8548
O:GOOG200221C01200000,2020-01-24,2020-02-21,GOOG,C,60.0,6.0,14.36,13.53,-18.18,YES,13.53,22.54,14.36,22.54,14.36,13.53,2.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.4135,0.956
