ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:IWM180105C00158500,2018-01-02,2018-01-05,IWM,C,158.5,730,0.0,0.0,2.94,NO,0.0,0.0,0.0,0.0,0.0,0.0,4,1514869200000000000,3,Weekly,153.2,153.9,153.97,152.46,153.97,154.79,154.98,154.98,0.02,0.0,0.0,,
O:IWM180105C00159000,2018-01-02,2018-01-05,IWM,C,159.0,20,0.0,0.0,3.27,NO,0.0,0.0,0.0,0.0,0.0,0.0,4,1514869200000000000,3,Weekly,153.2,153.9,153.97,152.46,153.97,154.79,154.98,154.98,0.02,0.0,0.0,,
O:IWM180105C00160000,2018-01-02,2018-01-05,IWM,C,160.0,13,0.0,0.0,3.92,NO,0.0,0.0,0.0,0.0,0.0,0.0,5,1514869200000000000,3,Weekly,153.2,153.9,153.97,152.46,153.97,154.79,154.98,154.98,0.02,0.0,0.0,,
O:IWM180112C00135000,2018-01-08,2018-01-12,IWM,C,135.0,6,4.8,5.04,-13.05,YES,4.92,3.17,4.8,3.09,5.04,4.8,3,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,4.92,3.25,,
O:IWM180112C00146000,2018-01-08,2018-01-12,IWM,C,146.0,50,1.93,2.08,-5.97,YES,2.01,1.29,1.93,1.24,2.08,1.93,7,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,2.01,1.34,,
O:IWM180112C00149000,2018-01-08,2018-01-12,IWM,C,149.0,6,1.23,1.53,-4.04,YES,1.38,0.89,1.23,0.79,1.53,1.23,2,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,1.38,0.98,,
O:IWM180112C00150000,2018-01-08,2018-01-12,IWM,C,150.0,97,1.0,1.29,-3.39,YES,1.14,0.74,1.0,0.64,1.29,1.0,7,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,1.14,0.83,,
O:IWM180112C00150500,2018-01-08,2018-01-12,IWM,C,150.5,51,0.84,1.01,-3.07,YES,0.92,0.59,0.84,0.54,1.01,0.84,8,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,0.92,0.65,,
O:IWM180112C00151000,2018-01-08,2018-01-12,IWM,C,151.0,176,0.97,1.06,-2.75,YES,0.93,0.6,0.8,0.52,1.06,0.8,5,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,0.93,0.68,,
O:IWM180112C00151500,2018-01-08,2018-01-12,IWM,C,151.5,1,0.8,0.8,-2.43,YES,0.8,0.51,0.8,0.51,0.8,0.8,1,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,0.8,0.51,,
