ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility
O:JPM160219C00050000,2016-01-19,2016-02-19,JPM,C,50.0,37.0,7.4,7.6,-12.3,YES,7.6,15.2,7.4,14.8,7.6,7.4,4.0,1453179600000000000,31.0,Monthly,57.73,57.01,57.97,56.51,57.01,57.01,57.97,57.01,0.0034,0.4489
O:JPM160219C00052500,2016-01-19,2016-02-19,JPM,C,52.5,31.0,5.05,5.05,-7.91,YES,5.05,9.62,5.05,9.62,5.05,5.05,3.0,1453179600000000000,31.0,Monthly,57.73,57.01,57.97,56.51,57.01,57.01,57.97,57.01,0.0034,0.3201
O:JPM160219C00055000,2016-01-19,2016-02-19,JPM,C,55.0,95.0,3.7,3.24,-3.53,YES,3.24,5.89,3.7,6.73,3.7,2.9,12.0,1453179600000000000,31.0,Monthly,57.73,57.01,57.97,56.51,57.01,57.01,57.97,57.01,0.0034,0.3183
O:JPM160219C00056000,2016-01-19,2016-02-19,JPM,C,56.0,93.0,2.66,2.6,-1.77,YES,2.6,4.64,2.66,4.75,2.66,2.25,13.0,1453179600000000000,31.0,Monthly,57.73,57.01,57.97,56.51,57.01,57.01,57.97,57.01,0.0034,0.3116
O:JPM160219C00056500,2016-01-19,2016-02-19,JPM,C,56.5,72.0,2.49,2.23,-0.89,YES,2.23,3.95,2.49,4.41,2.49,1.96,13.0,1453179600000000000,31.0,Monthly,57.73,57.01,57.97,56.51,57.01,57.01,57.97,57.01,0.0034,0.2965
O:JPM160219C00057000,2016-01-19,2016-02-19,JPM,C,57.0,120.0,2.37,2.02,-0.02,YES,2.02,3.54,2.37,4.16,2.37,1.75,26.0,1453179600000000000,31.0,Monthly,57.73,57.01,57.97,56.51,57.01,57.01,57.97,57.01,0.0034,0.3029
O:JPM160219C00057500,2016-01-19,2016-02-19,JPM,C,57.5,843.0,2.1,1.7,0.86,NO,1.7,2.96,2.1,3.65,2.12,1.45,109.0,1453179600000000000,31.0,Monthly,57.73,57.01,57.97,56.51,57.01,57.01,57.97,57.01,0.0034,0.2897
O:JPM160219C00058000,2016-01-19,2016-02-19,JPM,C,58.0,933.0,1.8,1.5,1.74,NO,1.5,2.59,1.8,3.1,1.8,1.27,95.0,1453179600000000000,31.0,Monthly,57.73,57.01,57.97,56.51,57.01,57.01,57.97,57.01,0.0034,0.2915
O:JPM160219C00058500,2016-01-19,2016-02-19,JPM,C,58.5,81.0,1.46,1.05,2.61,NO,1.05,1.79,1.46,2.5,1.48,1.05,13.0,1453179600000000000,31.0,Monthly,57.73,57.01,57.97,56.51,57.01,57.01,57.97,57.01,0.0034,0.2511
O:JPM160219C00059000,2016-01-19,2016-02-19,JPM,C,59.0,205.0,1.16,1.0,3.49,NO,1.0,1.69,1.16,1.97,1.23,0.88,19.0,1453179600000000000,31.0,Monthly,57.73,57.01,57.97,56.51,57.01,57.01,57.97,57.01,0.0034,0.2698
O:JPM160219C00059500,2016-01-19,2016-02-19,JPM,C,59.5,320.0,1.05,0.83,4.37,NO,0.83,1.39,1.05,1.76,1.05,0.73,22.0,1453179600000000000,31.0,Monthly,57.73,57.01,57.97,56.51,57.01,57.01,57.97,57.01,0.0034,0.2664
O:JPM160219C00060000,2016-01-19,2016-02-19,JPM,C,60.0,1453.0,0.9,0.7,5.24,NO,0.7,1.17,0.9,1.5,3.12,0.54,197.0,1453179600000000000,31.0,Monthly,57.73,57.01,57.97,56.51,57.01,57.01,57.97,57.01,0.0034,0.2665
O:JPM160219C00060500,2016-01-19,2016-02-19,JPM,C,60.5,117.0,0.78,0.56,6.12,NO,0.56,0.93,0.78,1.29,0.78,0.45,26.0,1453179600000000000,31.0,Monthly,57.73,57.01,57.97,56.51,57.01,57.01,57.97,57.01,0.0034,0.2613
O:JPM160219C00061000,2016-01-19,2016-02-19,JPM,C,61.0,632.0,0.59,0.43,7.0,NO,0.43,0.7,0.59,0.97,0.59,0.33,31.0,1453179600000000000,31.0,Monthly,57.73,57.01,57.97,56.51,57.01,57.01,57.97,57.01,0.0034,
O:JPM160219C00062000,2016-01-19,2016-02-19,JPM,C,62.0,18.0,0.34,0.26,8.75,NO,0.26,0.42,0.34,0.55,0.34,0.21,7.0,1453179600000000000,31.0,Monthly,57.73,57.01,57.97,56.51,57.01,57.01,57.97,57.01,0.0034,
O:JPM160219C00062500,2016-01-19,2016-02-19,JPM,C,62.5,275.0,0.35,0.2,9.63,NO,0.2,0.32,0.35,0.56,0.35,0.14,37.0,1453179600000000000,31.0,Monthly,57.73,57.01,57.97,56.51,57.01,57.01,57.97,57.01,0.0034,
O:JPM160219C00063000,2016-01-19,2016-02-19,JPM,C,63.0,50.0,0.19,0.19,10.51,NO,0.19,0.3,0.19,0.3,0.19,0.19,2.0,1453179600000000000,31.0,Monthly,57.73,57.01,57.97,56.51,57.01,57.01,57.97,57.01,0.0034,
O:JPM160219C00063500,2016-01-19,2016-02-19,JPM,C,63.5,138.0,0.15,0.08,11.38,NO,0.08,0.13,0.15,0.24,0.15,0.08,13.0,1453179600000000000,31.0,Monthly,57.73,57.01,57.97,56.51,57.01,57.01,57.97,57.01,0.0034,
O:JPM160219C00064000,2016-01-19,2016-02-19,JPM,C,64.0,46.0,0.12,0.06,12.26,NO,0.06,0.09,0.12,0.19,0.12,0.06,5.0,1453179600000000000,31.0,Monthly,57.73,57.01,57.97,56.51,57.01,57.01,57.97,57.01,0.0034,
O:JPM160219C00064500,2016-01-19,2016-02-19,JPM,C,64.5,161.0,0.09,0.05,13.14,NO,0.05,0.08,0.09,0.14,0.09,0.05,13.0,1453179600000000000,31.0,Monthly,57.73,57.01,57.97,56.51,57.01,57.01,57.97,57.01,0.0034,
O:JPM160219C00065000,2016-01-19,2016-02-19,JPM,C,65.0,297.0,0.1,0.04,14.02,NO,0.04,0.06,0.1,0.15,0.1,0.03,16.0,1453179600000000000,31.0,Monthly,57.73,57.01,57.97,56.51,57.01,57.01,57.97,57.01,0.0034,
