ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm,mid_price,high_yield_pct
O:HOOD210813C00057000,2021-08-09,2021-08-13,HOOD,C,57.0,2789.0,5.5,3.3,-4.94,NO,4.49,7.49,2.9,4.84,6.08,2.9,825.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.42,0.46,4.49,10.14
O:HOOD210813C00058000,2021-08-09,2021-08-13,HOOD,C,58.0,2362.0,5.63,3.0,-3.27,NO,4.25,7.09,2.6,4.34,5.9,2.6,899.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.48,0.42,4.25,9.84
O:HOOD210813C00059000,2021-08-09,2021-08-13,HOOD,C,59.0,1223.0,5.0,2.7,-1.6,NO,3.8,6.34,2.2,3.67,5.4,2.2,572.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.52,0.38,3.8,9.01
O:HOOD210813C00060000,2021-08-09,2021-08-13,HOOD,C,60.0,8010.0,4.84,2.31,0.07,NO,3.52,5.88,2.05,3.42,5.0,2.05,2869.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.51,0.34,3.52,8.34
O:HOOD210813C00061000,2021-08-09,2021-08-13,HOOD,C,61.0,550.0,4.5,2.2,1.73,NO,3.22,5.38,1.85,3.09,4.6,1.85,252.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.6,0.31,3.22,7.67
O:HOOD210813C00062000,2021-08-09,2021-08-13,HOOD,C,62.0,2953.0,4.1,1.89,3.4,NO,3.08,5.15,1.67,2.79,4.5,1.67,963.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.59,0.27,3.08,7.51
O:HOOD210813C00063000,2021-08-09,2021-08-13,HOOD,C,63.0,964.0,3.7,1.7,5.07,NO,2.7,4.5,1.5,2.5,3.9,1.5,260.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.63,0.24,2.7,6.5
O:HOOD210813C00064000,2021-08-09,2021-08-13,HOOD,C,64.0,806.0,3.6,1.55,6.74,NO,2.48,4.13,1.35,2.25,3.6,1.35,238.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.67,0.22,2.48,6.0
O:HOOD210813C00065000,2021-08-09,2021-08-13,HOOD,C,65.0,3233.0,3.3,1.45,8.41,NO,2.45,4.09,1.2,2.0,3.7,1.2,1330.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.72,0.2,2.45,6.17
O:HOOD210813C00065500,2021-08-09,2021-08-13,HOOD,C,65.5,148.0,3.0,1.45,9.24,NO,2.19,3.66,1.2,2.0,3.19,1.2,68.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.78,0.2,2.19,5.32
