ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility
O:XLF180216C00020000,2018-01-16,2018-02-16,XLF,C,20.0,4.0,9.19,9.19,-31.39,YES,9.19,45.95,9.19,45.95,9.19,9.17,3.0,1516078800000000000,31.0,Monthly,29.48,29.15,29.53,28.99,29.15,29.15,29.53,29.15,0.0141,0.5715
O:XLF180216C00024000,2018-01-16,2018-02-16,XLF,C,24.0,13.0,5.45,5.2,-17.67,YES,5.2,21.67,5.45,22.71,5.45,5.2,3.0,1516078800000000000,31.0,Monthly,29.48,29.15,29.53,28.99,29.15,29.15,29.53,29.15,0.0141,0.334
O:XLF180216C00025000,2018-01-16,2018-02-16,XLF,C,25.0,8.0,4.34,4.15,-14.24,YES,4.15,16.6,4.34,17.36,4.34,4.15,2.0,1516078800000000000,31.0,Monthly,29.48,29.15,29.53,28.99,29.15,29.15,29.53,29.15,0.0141,
O:XLF180216C00026000,2018-01-16,2018-02-16,XLF,C,26.0,30.0,3.55,3.15,-10.81,YES,3.15,12.12,3.55,13.65,3.55,3.15,5.0,1516078800000000000,31.0,Monthly,29.48,29.15,29.53,28.99,29.15,29.15,29.53,29.15,0.0141,
O:XLF180216C00027000,2018-01-16,2018-02-16,XLF,C,27.0,488.0,2.5,2.3,-7.38,YES,2.3,8.52,2.5,9.26,2.64,2.17,101.0,1516078800000000000,31.0,Monthly,29.48,29.15,29.53,28.99,29.15,29.15,29.53,29.15,0.0141,0.2321
O:XLF180216C00028000,2018-01-16,2018-02-16,XLF,C,28.0,1115.0,1.6,1.38,-3.95,YES,1.38,4.93,1.6,5.71,1.65,1.29,64.0,1516078800000000000,31.0,Monthly,29.48,29.15,29.53,28.99,29.15,29.15,29.53,29.15,0.0141,0.1854
O:XLF180216C00029000,2018-01-16,2018-02-16,XLF,C,29.0,27770.0,0.7,0.67,-0.51,YES,0.67,2.31,0.7,2.41,0.85,0.55,289.0,1516078800000000000,31.0,Monthly,29.48,29.15,29.53,28.99,29.15,29.15,29.53,29.15,0.0141,0.1696
O:XLF180216C00030000,2018-01-16,2018-02-16,XLF,C,30.0,32131.0,0.28,0.22,2.92,NO,0.22,0.73,0.28,0.93,0.31,0.17,247.0,1516078800000000000,31.0,Monthly,29.48,29.15,29.53,28.99,29.15,29.15,29.53,29.15,0.0141,0.1544
O:XLF180216C00031000,2018-01-16,2018-02-16,XLF,C,31.0,20494.0,0.08,0.07,6.35,NO,0.07,0.23,0.08,0.26,0.09,0.06,21.0,1516078800000000000,31.0,Monthly,29.48,29.15,29.53,28.99,29.15,29.15,29.53,29.15,0.0141,
O:XLF180216C00032000,2018-01-16,2018-02-16,XLF,C,32.0,5.0,0.03,0.03,9.78,NO,0.03,0.09,0.03,0.09,0.03,0.03,1.0,1516078800000000000,31.0,Monthly,29.48,29.15,29.53,28.99,29.15,29.15,29.53,29.15,0.0141,
O:XLF180216C00025000,2018-01-17,2018-02-16,XLF,C,25.0,867.0,4.2,4.3,-14.88,YES,4.3,17.2,4.2,16.8,4.3,4.2,12.0,1516165200000000000,30.0,Monthly,29.23,29.37,29.45,28.99,29.37,29.37,29.45,29.37,0.0141,
O:XLF180216C00026000,2018-01-17,2018-02-16,XLF,C,26.0,15.0,3.45,3.45,-11.47,YES,3.45,13.27,3.45,13.27,3.45,3.45,1.0,1516165200000000000,30.0,Monthly,29.23,29.37,29.45,28.99,29.37,29.37,29.45,29.37,0.0141,0.2689
