ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm,mid_price,high_yield_pct
O:COIN230106C00025000,2023-01-03,2023-01-06,COIN,C,25.0,30,2.88,2.93,-32.3,YES,2.9,7.86,2.88,7.78,2.93,2.88,7,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,,,2.9,7.93
O:COIN230106C00027500,2023-01-03,2023-01-06,COIN,C,27.5,12,2.25,1.78,-25.53,YES,1.99,5.38,1.72,4.67,2.25,1.72,8,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,,,1.99,6.09
O:COIN230106C00029500,2023-01-03,2023-01-06,COIN,C,29.5,4,1.37,1.2,-20.12,YES,1.29,3.48,1.2,3.25,1.37,1.2,2,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,,,1.29,3.71
O:COIN230106C00030000,2023-01-03,2023-01-06,COIN,C,30.0,4,1.16,1.01,-18.77,YES,1.09,2.94,1.01,2.74,1.16,1.01,2,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,,,1.09,3.14
O:COIN230106C00031000,2023-01-03,2023-01-06,COIN,C,31.0,9,1.48,0.77,-16.06,YES,1.12,3.04,0.77,2.08,1.48,0.77,4,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,,,1.12,4.01
O:COIN230106C00032000,2023-01-03,2023-01-06,COIN,C,32.0,22,1.25,0.55,-13.35,YES,0.89,2.42,0.54,1.46,1.25,0.54,15,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,,,0.89,3.38
O:COIN230106C00032500,2023-01-03,2023-01-06,COIN,C,32.5,173,0.66,0.48,-12.0,YES,0.57,1.54,0.47,1.27,0.67,0.47,24,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,,,0.57,1.81
O:COIN230106C00033000,2023-01-03,2023-01-06,COIN,C,33.0,258,0.9,0.4,-10.64,YES,0.65,1.76,0.4,1.08,0.9,0.4,34,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,,,0.65,2.44
O:COIN230106C00033500,2023-01-03,2023-01-06,COIN,C,33.5,1338,0.9,0.33,-9.29,YES,0.61,1.66,0.32,0.88,0.9,0.32,137,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,,,0.61,2.44
O:COIN230106C00034000,2023-01-03,2023-01-06,COIN,C,34.0,300,0.64,0.27,-7.93,YES,0.56,1.52,0.27,0.74,0.85,0.27,130,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,,,0.56,2.3
O:COIN230106C00034500,2023-01-03,2023-01-06,COIN,C,34.5,2206,0.65,0.22,-6.58,YES,0.48,1.31,0.22,0.6,0.75,0.22,213,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,,,0.48,2.03
O:COIN230106C00035000,2023-01-03,2023-01-06,COIN,C,35.0,1493,0.59,0.18,-5.23,YES,0.43,1.16,0.18,0.48,0.68,0.18,407,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,,,0.43,1.84
O:COIN230106C00035500,2023-01-03,2023-01-06,COIN,C,35.5,624,0.45,0.14,-3.87,YES,0.36,0.97,0.14,0.38,0.57,0.14,223,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,,,0.36,1.54
O:COIN230106C00036000,2023-01-03,2023-01-06,COIN,C,36.0,777,0.4,0.11,-2.52,YES,0.31,0.84,0.11,0.3,0.5,0.11,309,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,,,0.31,1.35
O:COIN230106C00036500,2023-01-03,2023-01-06,COIN,C,36.5,370,0.39,0.1,-1.16,YES,0.27,0.73,0.09,0.24,0.45,0.09,155,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,,,0.27,1.22
O:COIN230106C00037000,2023-01-03,2023-01-06,COIN,C,37.0,1288,0.35,0.07,0.19,NO,0.23,0.62,0.07,0.18,0.39,0.07,343,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,0.19,0.46,0.23,1.06
O:COIN230106C00037500,2023-01-03,2023-01-06,COIN,C,37.5,318,0.28,0.06,1.54,NO,0.18,0.5,0.06,0.15,0.32,0.06,143,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,0.3,0.29,0.18,0.87
O:COIN230106C00038000,2023-01-03,2023-01-06,COIN,C,38.0,717,0.24,0.04,2.9,NO,0.16,0.44,0.04,0.12,0.28,0.04,226,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,0.39,0.21,0.16,0.76
O:COIN230106C00038500,2023-01-03,2023-01-06,COIN,C,38.5,148,0.2,0.04,4.25,NO,0.13,0.36,0.04,0.09,0.23,0.04,52,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,0.46,0.16,0.13,0.62
O:COIN230106C00039000,2023-01-03,2023-01-06,COIN,C,39.0,1277,0.16,0.03,5.61,NO,0.11,0.29,0.02,0.07,0.19,0.02,201,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,0.51,0.12,0.11,0.51
O:COIN230106C00039500,2023-01-03,2023-01-06,COIN,C,39.5,319,0.15,0.02,6.96,NO,0.08,0.23,0.02,0.05,0.15,0.02,58,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,0.56,0.09,0.08,0.41
O:COIN230106C00040000,2023-01-03,2023-01-06,COIN,C,40.0,1997,0.11,0.02,8.31,NO,0.07,0.2,0.02,0.05,0.13,0.02,312,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,0.61,0.07,0.07,0.35
O:COIN230106C00040500,2023-01-03,2023-01-06,COIN,C,40.5,228,0.09,0.02,9.67,NO,0.06,0.16,0.02,0.04,0.1,0.02,53,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,0.65,0.06,0.06,0.27
O:COIN230106C00041000,2023-01-03,2023-01-06,COIN,C,41.0,310,0.07,0.01,11.02,NO,0.05,0.13,0.01,0.03,0.08,0.01,98,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,0.69,0.04,0.05,0.22
O:COIN230106C00041500,2023-01-03,2023-01-06,COIN,C,41.5,105,0.06,0.01,12.37,NO,0.04,0.1,0.01,0.03,0.07,0.01,35,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,0.72,0.04,0.04,0.19
O:COIN230106C00042000,2023-01-03,2023-01-06,COIN,C,42.0,257,0.05,0.01,13.73,NO,0.03,0.08,0.01,0.02,0.06,0.01,45,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,0.75,0.03,0.03,0.16
O:COIN230106C00042500,2023-01-03,2023-01-06,COIN,C,42.5,615,0.04,0.01,15.08,NO,0.02,0.06,0.01,0.02,0.04,0.01,18,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,0.77,0.02,0.02,0.11
O:COIN230106C00043000,2023-01-03,2023-01-06,COIN,C,43.0,224,0.04,0.01,16.44,NO,0.02,0.05,0.0,0.01,0.04,0.0,37,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,0.81,0.02,0.02,0.11
O:COIN230106C00043500,2023-01-03,2023-01-06,COIN,C,43.5,30,0.03,0.0,17.79,NO,0.02,0.04,0.0,0.01,0.03,0.0,10,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,0.83,0.01,0.02,0.08
O:COIN230106C00044000,2023-01-03,2023-01-06,COIN,C,44.0,135,0.02,0.01,19.14,NO,0.01,0.04,0.0,0.01,0.02,0.0,26,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,0.86,0.01,0.01,0.05
O:COIN230106C00044500,2023-01-03,2023-01-06,COIN,C,44.5,107,0.02,0.0,20.5,NO,0.01,0.03,0.0,0.01,0.02,0.0,6,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,0.87,0.01,0.01,0.05
O:COIN230106C00045000,2023-01-03,2023-01-06,COIN,C,45.0,225,0.01,0.0,21.85,NO,0.01,0.02,0.0,0.01,0.02,0.0,44,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,0.9,0.01,0.01,0.05
O:COIN230106C00045500,2023-01-03,2023-01-06,COIN,C,45.5,1,0.01,0.01,23.21,NO,0.01,0.03,0.01,0.03,0.01,0.01,1,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,0.99,0.01,0.01,0.03
O:COIN230106C00046000,2023-01-03,2023-01-06,COIN,C,46.0,60,0.01,0.0,24.56,NO,0.01,0.02,0.0,0.01,0.01,0.0,5,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,0.95,0.0,0.01,0.03
O:COIN230106C00047000,2023-01-03,2023-01-06,COIN,C,47.0,20,0.0,0.0,27.27,NO,0.0,0.01,0.0,0.01,0.01,0.0,8,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,1.01,0.0,0.0,0.03
O:COIN230106C00048000,2023-01-03,2023-01-06,COIN,C,48.0,2,0.0,0.0,29.98,NO,0.0,0.01,0.0,0.01,0.0,0.0,2,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,1.09,0.0,0.0,0.0
O:COIN230106C00049000,2023-01-03,2023-01-06,COIN,C,49.0,8,0.0,0.0,32.68,NO,0.0,0.01,0.0,0.01,0.0,0.0,3,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,1.09,0.0,0.0,0.0
O:COIN230106C00050000,2023-01-03,2023-01-06,COIN,C,50.0,124,0.0,0.0,35.39,NO,0.0,0.01,0.0,0.01,0.0,0.0,10,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,1.2,0.0,0.0,0.0
O:COIN230106C00051000,2023-01-03,2023-01-06,COIN,C,51.0,123,0.01,0.0,38.1,NO,0.01,0.02,0.0,0.01,0.01,0.0,16,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,1.34,0.0,0.01,0.03
O:COIN230106C00053000,2023-01-03,2023-01-06,COIN,C,53.0,4,0.0,0.0,43.51,NO,0.0,0.01,0.0,0.01,0.0,0.0,2,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,1.35,0.0,0.0,0.0
O:COIN230106C00054000,2023-01-03,2023-01-06,COIN,C,54.0,2,0.0,0.0,46.22,NO,0.0,0.01,0.0,0.01,0.0,0.0,2,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,1.51,0.0,0.0,0.0
O:COIN230106C00055000,2023-01-03,2023-01-06,COIN,C,55.0,3,0.0,0.0,48.93,NO,0.0,0.01,0.0,0.01,0.0,0.0,3,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,1.48,0.0,0.0,0.0
O:COIN230106C00057000,2023-01-03,2023-01-06,COIN,C,57.0,3,0.0,0.0,54.35,NO,0.0,0.01,0.0,0.01,0.0,0.0,2,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,1.59,0.0,0.0,0.0
O:COIN230106C00060000,2023-01-03,2023-01-06,COIN,C,60.0,10,0.0,0.0,62.47,NO,0.0,0.01,0.0,0.01,0.0,0.0,5,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,1.76,0.0,0.0,0.0
O:COIN230106C00075000,2023-01-03,2023-01-06,COIN,C,75.0,7,0.0,0.0,103.09,NO,0.0,0.01,0.0,0.01,0.0,0.0,1,1672722000000000000,3,36.49,33.6,36.93,33.37,36.93,33.26,33.75,33.75,0.02,2.47,0.0,0.0,0.0
O:COIN230113C00017000,2023-01-09,2023-01-13,COIN,C,17.0,1,5.52,5.52,-56.83,YES,5.52,14.03,5.52,14.03,5.52,5.52,1,1673240400000000000,4,35.19,38.27,39.38,34.72,39.38,49.98,50.63,50.63,0.02,,,5.52,14.02
O:COIN230113C00018000,2023-01-09,2023-01-13,COIN,C,18.0,1,5.06,5.06,-54.29,YES,5.06,12.86,5.06,12.86,5.06,5.06,1,1673240400000000000,4,35.19,38.27,39.38,34.72,39.38,49.98,50.63,50.63,0.02,,,5.06,12.85
O:COIN230113C00020000,2023-01-09,2023-01-13,COIN,C,20.0,1,4.5,4.5,-49.21,YES,4.5,11.43,4.5,11.43,4.5,4.5,1,1673240400000000000,4,35.19,38.27,39.38,34.72,39.38,49.98,50.63,50.63,0.02,,,4.5,11.43
O:COIN230113C00021000,2023-01-09,2023-01-13,COIN,C,21.0,1,4.31,4.31,-46.67,YES,4.31,10.95,4.31,10.95,4.31,4.31,1,1673240400000000000,4,35.19,38.27,39.38,34.72,39.38,49.98,50.63,50.63,0.02,,,4.31,10.94
O:COIN230113C00025000,2023-01-09,2023-01-13,COIN,C,25.0,1,2.7,2.7,-36.52,YES,2.7,6.86,2.7,6.86,2.7,2.7,1,1673240400000000000,4,35.19,38.27,39.38,34.72,39.38,49.98,50.63,50.63,0.02,,,2.7,6.86
O:COIN230113C00027000,2023-01-09,2023-01-13,COIN,C,27.0,3,2.92,2.93,-31.44,YES,2.92,7.42,2.92,7.41,2.93,2.92,3,1673240400000000000,4,35.19,38.27,39.38,34.72,39.38,49.98,50.63,50.63,0.02,,,2.92,7.44
O:COIN230113C00028500,2023-01-09,2023-01-13,COIN,C,28.5,1,2.09,2.09,-27.63,YES,2.09,5.3,2.09,5.3,2.09,2.09,1,1673240400000000000,4,35.19,38.27,39.38,34.72,39.38,49.98,50.63,50.63,0.02,,,2.09,5.31
O:COIN230113C00029000,2023-01-09,2023-01-13,COIN,C,29.0,4,1.42,2.39,-26.36,YES,1.92,4.89,1.42,3.62,2.42,1.42,3,1673240400000000000,4,35.19,38.27,39.38,34.72,39.38,49.98,50.63,50.63,0.02,,,1.92,6.15
O:COIN230113C00029500,2023-01-09,2023-01-13,COIN,C,29.5,7,1.98,1.98,-25.09,YES,1.98,5.04,1.98,5.04,1.98,1.98,2,1673240400000000000,4,35.19,38.27,39.38,34.72,39.38,49.98,50.63,50.63,0.02,,,1.98,5.03
O:COIN230113C00030000,2023-01-09,2023-01-13,COIN,C,30.0,68,1.35,2.05,-23.82,YES,1.75,4.44,1.25,3.17,2.25,1.25,18,1673240400000000000,4,35.19,38.27,39.38,34.72,39.38,49.98,50.63,50.63,0.02,,,1.75,5.71
O:COIN230113C00030500,2023-01-09,2023-01-13,COIN,C,30.5,8,1.32,1.45,-22.55,YES,1.38,3.49,1.3,3.3,1.45,1.3,5,1673240400000000000,4,35.19,38.27,39.38,34.72,39.38,49.98,50.63,50.63,0.02,,,1.38,3.68
O:COIN230113C00031000,2023-01-09,2023-01-13,COIN,C,31.0,99,1.21,1.82,-21.28,YES,1.63,4.14,1.21,3.08,2.05,1.21,29,1673240400000000000,4,35.19,38.27,39.38,34.72,39.38,49.98,50.63,50.63,0.02,,,1.63,5.21
O:COIN230113C00031500,2023-01-09,2023-01-13,COIN,C,31.5,44,0.95,1.74,-20.01,YES,1.46,3.71,0.95,2.41,1.98,0.95,19,1673240400000000000,4,35.19,38.27,39.38,34.72,39.38,49.98,50.63,50.63,0.02,,,1.46,5.03
O:COIN230113C00032000,2023-01-09,2023-01-13,COIN,C,32.0,104,0.94,1.75,-18.74,YES,1.38,3.52,0.92,2.35,1.84,0.92,35,1673240400000000000,4,35.19,38.27,39.38,34.72,39.38,49.98,50.63,50.63,0.02,,,1.38,4.67
O:COIN230113C00032500,2023-01-09,2023-01-13,COIN,C,32.5,614,0.79,1.47,-17.47,YES,1.22,3.09,0.79,2.0,1.65,0.79,79,1673240400000000000,4,35.19,38.27,39.38,34.72,39.38,49.98,50.63,50.63,0.02,,,1.22,4.19
O:COIN230113C00033000,2023-01-09,2023-01-13,COIN,C,33.0,924,0.78,1.52,-16.2,YES,1.17,2.98,0.69,1.75,1.66,0.69,451,1673240400000000000,4,35.19,38.27,39.38,34.72,39.38,49.98,50.63,50.63,0.02,,,1.17,4.22
O:COIN230113C00033500,2023-01-09,2023-01-13,COIN,C,33.5,379,0.7,1.28,-14.93,YES,1.1,2.78,0.65,1.65,1.54,0.65,114,1673240400000000000,4,35.19,38.27,39.38,34.72,39.38,49.98,50.63,50.63,0.02,,,1.1,3.91
O:COIN230113C00034000,2023-01-09,2023-01-13,COIN,C,34.0,616,0.54,1.14,-13.66,YES,0.98,2.49,0.54,1.36,1.43,0.54,139,1673240400000000000,4,35.19,38.27,39.38,34.72,39.38,49.98,50.63,50.63,0.02,,,0.98,3.63
O:COIN230113C00034500,2023-01-09,2023-01-13,COIN,C,34.5,216,0.55,1.06,-12.39,YES,0.89,2.25,0.5,1.26,1.28,0.5,63,1673240400000000000,4,35.19,38.27,39.38,34.72,39.38,49.98,50.63,50.63,0.02,,,0.89,3.25
