symbol,year,date_only,expiration_date,strike,underlying_spot,underlying_spot_at_expiry,probability_itm,actually_itm,premium,premium_yield_pct
AAPL,2024,2024-11-25,2024-11-29,240.0,233.245,237.81,0.0532,False,0.06,0.03
AAPL,2024,2024-12-02,2024-12-06,247.5,240.79,244.63,0.0589,False,0.175,0.07
AAPL,2024,2024-12-09,2024-12-13,255.0,247.24,249.2902,0.0512,False,0.11,0.04
AAPL,2025,2025-02-03,2025-02-07,242.5,231.83,234.0,0.0529,False,0.355,0.15
AAPL,2025,2025-02-10,2025-02-14,237.5,230.585,245.55,0.058,True,0.34,0.15
AAPL,2025,2025-04-07,2025-04-11,207.5,194.15,199.54,0.0575,False,1.19,0.61
AAPL,2025,2025-05-05,2025-05-09,212.5,204.1,200.5399,0.0568,False,0.44,0.22
AAPL,2025,2025-05-19,2025-05-23,220.0,209.48,197.7,0.0504,False,0.165,0.08
AAPL,2025,2025-06-09,2025-06-13,215.0,206.0,200.37,0.0552,False,0.4,0.19
AAPL,2025,2025-07-21,2025-07-25,222.5,215.78,215.24,0.0595,False,0.325,0.15
AAPL,2025,2025-07-28,2025-08-01,230.0,214.845,213.58,0.0583,False,0.335,0.16
AAPL,2025,2025-08-04,2025-08-08,215.0,207.88,231.0,0.0555,True,0.315,0.15
AAPL,2025,2025-08-18,2025-08-22,242.5,233.12,229.09,0.0559,False,0.285,0.12
AAPL,2025,2025-09-08,2025-09-12,250.0,240.15,234.51,0.0583,False,0.245,0.1
AAPL,2025,2025-10-27,2025-10-31,290.0,269.12,277.32,0.0583,False,0.305,0.11
AAPL,2025,2025-11-10,2025-11-14,280.0,273.73,275.96,0.06,False,0.4599999999999999,0.17
AMZN,2023,2023-01-23,2023-01-27,105.0,97.78,103.485,0.0593,False,0.13,0.13
AMZN,2023,2023-01-30,2023-02-03,118.0,101.74,108.78,0.0579,False,0.3349999999999999,0.33
AMZN,2023,2023-02-06,2023-02-10,112.0,103.9484,98.8163,0.0561,False,0.255,0.25
AMZN,2023,2023-02-27,2023-03-03,100.0,94.78,94.94,0.0527,False,0.13,0.14
AMZN,2023,2023-05-01,2023-05-05,109.0,105.23,105.76,0.0526,False,0.345,0.33
AMZN,2023,2023-05-22,2023-05-26,122.0,116.77,121.5,0.0561,False,0.19,0.16
AMZN,2023,2023-06-26,2023-06-30,136.0,131.49,131.245,0.0568,False,0.385,0.29
AMZN,2023,2023-07-10,2023-07-14,135.0,129.28,136.65,0.0549,True,0.2,0.15
AMZN,2023,2023-07-24,2023-07-28,139.0,131.66,133.01,0.0576,False,0.29,0.22
AMZN,2023,2023-08-28,2023-09-01,140.0,133.95,139.96,0.05,False,0.095,0.07
AMZN,2023,2023-09-25,2023-09-29,138.0,131.78,129.15,0.058,False,0.16,0.12
AMZN,2023,2023-10-09,2023-10-13,135.0,128.79,133.3145,0.0579,False,0.1,0.08
AMZN,2023,2023-10-23,2023-10-27,142.0,127.88,130.02,0.0579,False,0.285,0.22
AMZN,2023,2023-10-23,2023-10-27,143.0,127.88,130.02,0.0525,False,0.235,0.18
AMZN,2023,2023-12-18,2023-12-22,162.5,154.855,154.35,0.0527,False,0.11,0.07
AMZN,2024,2024-04-22,2024-04-26,187.5,178.87,180.82,0.0582,False,0.3,0.17
AMZN,2024,2024-05-20,2024-05-24,192.5,186.665,182.435,0.0508,False,0.27,0.14
AMZN,2024,2024-06-10,2024-06-14,195.0,187.23,183.72,0.0522,False,0.12,0.06
AMZN,2024,2024-07-01,2024-07-05,207.5,198.2957,200.55,0.056,False,0.205,0.1
AMZN,2024,2024-07-29,2024-08-02,207.5,184.75,168.77,0.058,False,0.47,0.25
AMZN,2024,2024-08-26,2024-08-30,185.0,177.4682,178.9,0.054,False,0.215,0.12
AMZN,2024,2024-09-23,2024-09-27,202.5,194.45,190.9,0.0552,False,0.1,0.05
AMZN,2024,2024-10-21,2024-10-25,197.5,189.46,190.45,0.056,False,0.14,0.07
AMZN,2024,2024-12-02,2024-12-06,222.5,212.99,227.15,0.0509,True,0.235,0.11
AMZN,2024,2024-12-09,2024-12-13,240.0,230.08,230.2,0.0527,False,0.36,0.16
AMZN,2025,2025-02-03,2025-02-07,267.5,239.25,234.81,0.055,False,0.45,0.19
AMZN,2025,2025-02-10,2025-02-14,245.0,233.92,229.89,0.053,False,0.195,0.08
AMZN,2025,2025-02-24,2025-02-28,227.5,217.715,212.62,0.0569,False,0.305,0.14
AMZN,2025,2025-03-10,2025-03-14,212.5,196.73,198.65,0.0506,False,0.285,0.14
AMZN,2025,2025-04-21,2025-04-25,182.5,169.6,189.94,0.0536,True,0.285,0.17
AMZN,2025,2025-05-19,2025-05-23,217.5,206.62,202.37,0.0566,False,0.205,0.1
AMZN,2025,2025-07-21,2025-07-25,240.0,229.69,232.48,0.0524,False,0.14,0.06
AMZN,2025,2025-07-28,2025-08-01,255.0,234.29,220.4399,0.0538,False,0.38,0.16
AMZN,2025,2025-09-29,2025-10-03,235.0,222.6,224.2,0.0539,False,0.2,0.09
AMZN,2025,2025-10-06,2025-10-10,235.0,221.73,228.25,0.0539,False,0.21,0.09
AMZN,2025,2025-10-20,2025-10-24,230.0,216.69,225.4,0.0537,False,0.185,0.09
AMZN,2025,2025-10-27,2025-10-31,257.5,228.4,250.5,0.0564,False,0.55,0.24
AMZN,2025,2025-11-03,2025-11-07,270.0,258.6,244.9,0.0571,False,0.66,0.26
AMZN,2025,2025-11-24,2025-11-28,237.5,227.33,233.285,0.0593,False,0.175,0.08
AMZN,2025,2025-12-08,2025-12-12,240.0,230.83,230.08,0.0568,False,0.4049999999999999,0.18
AMZN,2025,2025-12-22,2025-12-26,237.5,229.48,232.99,0.0505,False,0.17,0.07
GOOG,2022,2022-01-03,2022-01-07,150.5,145.55,138.2547,0.0541,False,0.0849999999999999,0.06
GOOG,2022,2022-01-10,2022-01-14,145.0,138.64,141.2005,0.0558,False,0.09,0.06
GOOG,2022,2022-01-10,2022-01-14,145.5,138.64,141.2005,0.0598,False,0.08,0.06
GOOG,2022,2022-01-10,2022-01-14,145.75,138.64,141.2005,0.055,False,0.07,0.05
GOOG,2022,2022-01-24,2022-01-28,140.0,130.7785,133.3705,0.0524,False,0.1149999999999999,0.09
GOOG,2022,2022-01-31,2022-02-04,147.75,135.8435,144.5352,0.0568,False,0.17,0.13
GOOG,2022,2022-01-31,2022-02-04,148.0,135.8435,144.5352,0.0578,False,0.1649999999999999,0.12
GOOG,2022,2022-02-07,2022-02-11,147.5,143.8465,139.2833,0.0544,False,0.385,0.27
GOOG,2022,2022-02-28,2022-03-04,142.5,135.6405,134.199,0.0528,False,0.155,0.11
GOOG,2022,2022-03-07,2022-03-11,135.25,131.904,134.2,0.0559,False,0.37,0.28
GOOG,2022,2022-03-21,2022-03-25,142.75,137.5825,141.9595,0.0567,False,0.18,0.13
GOOG,2022,2022-03-21,2022-03-25,143.0,137.5825,141.9595,0.0514,False,0.17,0.12
GOOG,2022,2022-03-28,2022-04-01,148.5,141.9765,140.95,0.0551,False,0.12,0.08
GOOG,2022,2022-03-28,2022-04-01,148.75,141.9765,140.95,0.0572,False,0.12,0.08
GOOG,2022,2022-03-28,2022-04-01,149.0,141.9765,140.95,0.0523,False,0.11,0.08
GOOG,2022,2022-04-04,2022-04-08,149.5,144.0438,136.25,0.0555,False,0.09,0.06
GOOG,2022,2022-04-04,2022-04-08,149.75,144.0438,136.25,0.0578,False,0.115,0.08
GOOG,2022,2022-04-18,2022-04-22,134.75,128.712,125.452,0.0571,False,0.14,0.11
GOOG,2022,2022-04-18,2022-04-22,135.0,128.712,125.452,0.0557,False,0.13,0.1
GOOG,2022,2022-04-25,2022-04-29,140.25,123.278,118.96,0.0523,False,0.32,0.26
GOOG,2022,2022-04-25,2022-04-29,140.5,123.278,118.96,0.0517,False,0.325,0.26
GOOG,2022,2022-04-25,2022-04-29,141.25,123.278,118.96,0.0501,False,0.27,0.22
GOOG,2022,2022-05-02,2022-05-06,124.5,117.3395,117.4985,0.0539,False,0.165,0.14
GOOG,2022,2022-05-02,2022-05-06,125.25,117.3395,117.4985,0.0533,False,0.12,0.1
GOOG,2022,2022-05-09,2022-05-13,122.75,115.5629,118.085,0.0568,False,0.25,0.22
GOOG,2022,2022-05-09,2022-05-13,123.0,115.5629,118.085,0.051,False,0.22,0.19
GOOG,2022,2022-05-09,2022-05-13,123.25,115.5629,118.085,0.0548,False,0.2299999999999999,0.2
GOOG,2022,2022-05-09,2022-05-13,124.25,115.5629,118.085,0.0594,False,0.16,0.14
GOOG,2022,2022-05-23,2022-05-27,118.0,112.0055,112.868,0.0597,False,0.175,0.16
GOOG,2022,2022-05-23,2022-05-27,118.25,112.0055,112.868,0.0545,False,0.15,0.13
GOOG,2022,2022-05-23,2022-05-27,118.5,112.0055,112.868,0.0531,False,0.14,0.12
GOOG,2022,2022-06-06,2022-06-10,125.0,119.3985,113.497,0.0568,False,0.275,0.23
GOOG,2022,2022-06-27,2022-07-01,124.0,119.25,109.8064,0.0537,False,0.245,0.21
