entry_date,expiration_date,ticker,strike,entry_underlying,expiration_underlying,premium_collected,premium_yield,pnl_per_share,pnl_per_contract,pnl_yield,assigned,volume,days_to_expiry
2019-01-24,2019-02-15,O:TSLA190215C00165000,1650.0,19.5787,20.5333,1.2409999999999999,0.06338520943678588,-1.8377000000000014,-183.77000000000015,-0.09386220739885699,True,2,22.0
2019-01-24,2019-02-15,O:TSLA190215C00170000,1700.0,19.5787,20.5333,1.192,0.060882489644358405,-1.3867000000000014,-138.67000000000013,-0.07082697012569789,True,2,22.0
2019-01-24,2019-02-15,O:TSLA190215C00225000,2250.0,19.5787,20.5333,0.67,0.03422086246788602,0.67,67.0,0.03422086246788602,False,7,22.0
2019-01-24,2019-02-15,O:TSLA190215C00230000,2300.0,19.5787,20.5333,0.616,0.031462763104802664,0.616,61.6,0.031462763104802664,False,3,22.0
2019-01-24,2019-02-15,O:TSLA190215C00235000,2350.0,19.5787,20.5333,0.5760000000000001,0.029419726539555744,0.5760000000000001,57.60000000000001,0.029419726539555744,False,7,22.0
2019-01-24,2019-02-15,O:TSLA190215C00240000,2400.0,19.5787,20.5333,0.5775,0.0294963404107525,0.5775,57.75,0.0294963404107525,False,19,22.0
2019-01-24,2019-02-15,O:TSLA190215C00245000,2450.0,19.5787,20.5333,0.4935,0.025205963623733955,0.4935,49.35,0.025205963623733955,False,19,22.0
2019-01-24,2019-02-15,O:TSLA190215C00250000,2500.0,19.5787,20.5333,0.49340000000000006,0.02520085603232084,0.49340000000000006,49.34,0.02520085603232084,False,13,22.0
2019-01-24,2019-02-15,O:TSLA190215C00255000,2550.0,19.5787,20.5333,0.4525,0.023111851144355856,0.4525,45.25,0.023111851144355856,False,26,22.0
2019-01-24,2019-02-15,O:TSLA190215C00260000,2600.0,19.5787,20.5333,0.37,0.018898088228534067,0.37,37.0,0.018898088228534067,False,25,22.0
2019-01-24,2019-02-15,O:TSLA190215C00265000,2650.0,19.5787,20.5333,0.353,0.018029797688304126,0.353,35.3,0.018029797688304126,False,49,22.0
2019-01-24,2019-02-15,O:TSLA190215C00270000,2700.0,19.5787,20.5333,0.3126,0.01596633075740473,0.3126,31.259999999999998,0.01596633075740473,False,116,22.0
2019-01-24,2019-02-15,O:TSLA190215C00275000,2750.0,19.5787,20.5333,0.2995,0.01529723628228636,0.2995,29.95,0.01529723628228636,False,15,22.0
2019-01-24,2019-02-15,O:TSLA190215C00280000,2800.0,19.5787,20.5333,0.28350000000000003,0.014480021656187593,0.28350000000000003,28.35,0.014480021656187593,False,49,22.0
2019-01-24,2019-02-15,O:TSLA190215C00285000,2850.0,19.5787,20.5333,0.256,0.013075434017580328,0.256,25.6,0.013075434017580328,False,293,22.0
2019-01-24,2019-02-15,O:TSLA190215C00290000,2900.0,19.5787,20.5333,0.22949999999999998,0.01172192229310424,0.22949999999999998,22.95,0.01172192229310424,False,325,22.0
2019-01-24,2019-02-15,O:TSLA190215C00292500,2925.0,19.5787,20.5333,0.2107,0.010761695107438185,0.2107,21.07,0.010761695107438185,False,215,22.0
2019-01-24,2019-02-15,O:TSLA190215C00295000,2950.0,19.5787,20.5333,0.205,0.010470562396890497,0.205,20.5,0.010470562396890497,False,262,22.0
2019-01-24,2019-02-15,O:TSLA190215C00297500,2975.0,19.5787,20.5333,0.1865,0.009525657985463794,0.1865,18.65,0.009525657985463794,False,112,22.0
2019-01-24,2019-02-15,O:TSLA190215C00300000,3000.0,19.5787,20.5333,0.182,0.009295816371873515,0.182,18.2,0.009295816371873515,False,319,22.0
2019-01-24,2019-02-15,O:TSLA190215C00302500,3025.0,19.5787,20.5333,0.168,0.00858075357403709,0.168,16.8,0.00858075357403709,False,43,22.0
2019-01-24,2019-02-15,O:TSLA190215C00305000,3050.0,19.5787,20.5333,0.1606,0.00820279180946641,0.1606,16.06,0.00820279180946641,False,281,22.0
2019-01-24,2019-02-15,O:TSLA190215C00307500,3075.0,19.5787,20.5333,0.153,0.007814614862069493,0.153,15.299999999999999,0.007814614862069493,False,54,22.0
2019-01-24,2019-02-15,O:TSLA190215C00310000,3100.0,19.5787,20.5333,0.1402,0.007160843161190477,0.1402,14.02,0.007160843161190477,False,1196,22.0
2019-01-24,2019-02-15,O:TSLA190215C00312500,3125.0,19.5787,20.5333,0.12619999999999998,0.006445780363354052,0.12619999999999998,12.619999999999997,0.006445780363354052,False,46,22.0
2019-01-24,2019-02-15,O:TSLA190215C00315000,3150.0,19.5787,20.5333,0.11900000000000001,0.006078033781609606,0.11900000000000001,11.9,0.006078033781609606,False,3130,22.0
2019-01-24,2019-02-15,O:TSLA190215C00317500,3175.0,19.5787,20.5333,0.1115,0.0056949644256258074,0.1115,11.15,0.0056949644256258074,False,35,22.0
2019-01-24,2019-02-15,O:TSLA190215C00320000,3200.0,19.5787,20.5333,0.107,0.005465122812035528,0.107,10.7,0.005465122812035528,False,227,22.0
2019-01-24,2019-02-15,O:TSLA190215C00322500,3225.0,19.5787,20.5333,0.0935,0.0047755979712646906,0.0935,9.35,0.0047755979712646906,False,70,22.0
2019-01-24,2019-02-15,O:TSLA190215C00325000,3250.0,19.5787,20.5333,0.0925,0.004724522057133517,0.0925,9.25,0.004724522057133517,False,166,22.0
2019-01-24,2019-02-15,O:TSLA190215C00327500,3275.0,19.5787,20.5333,0.0815,0.004162687001690613,0.0815,8.15,0.004162687001690613,False,83,22.0
2019-01-24,2019-02-15,O:TSLA190215C00330000,3300.0,19.5787,20.5333,0.08,0.004086073130493853,0.08,8.0,0.004086073130493853,False,411,22.0
