entry_date,expiration_date,otm_range,otm_pct,strike,entry_underlying,expiration_underlying,premium_yield_close,premium_yield_low,pnl_per_contract,pnl_per_contract_low,assigned,volume
2019-01-14,2019-02-15,10.0%-15.0%,13.87,2600.0,22.8333,20.5333,3.56,3.56,81.35,81.34,False,11
2019-01-14,2019-02-15,20.0%-25.0%,24.82,2850.0,22.8333,20.5333,2.65,2.59,60.46,59.19,False,14
2019-01-14,2019-02-15,25.0%-30.0%,27.01,2900.0,22.8333,20.5333,2.47,2.45,56.39999999999999,56.02,False,11
2019-01-14,2019-02-15,25.0%-30.0%,29.2,2950.0,22.8333,20.5333,2.36,2.36,54.0,54.0,False,2
2019-01-14,2019-02-15,30.0%-35.0%,31.39,3000.0,22.8333,20.5333,2.09,2.08,47.72,47.55,False,52
2019-01-14,2019-02-15,30.0%-35.0%,33.58,3050.0,22.8333,20.5333,1.93,1.93,44.16,44.16,False,3
2019-01-14,2019-02-15,35.0%-40.0%,35.77,3100.0,22.8333,20.5333,1.84,1.84,41.9,41.9,False,6
2019-01-14,2019-02-15,35.0%-40.0%,37.96,3150.0,22.8333,20.5333,1.66,1.63,37.82,37.21,False,36
2019-01-15,2019-02-15,10.0%-15.0%,11.81,2600.0,23.2533,20.5333,3.91,3.91,90.81,90.81,False,1
2019-01-15,2019-02-15,15.0%-20.0%,18.26,2750.0,23.2533,20.5333,3.19,3.19,74.27,74.27,False,23
2019-01-15,2019-02-15,20.0%-25.0%,20.41,2800.0,23.2533,20.5333,3.14,3.14,73.13,73.13,False,1
2019-01-15,2019-02-15,20.0%-25.0%,22.56,2850.0,23.2533,20.5333,2.96,2.96,68.94,68.94,False,1
2019-01-15,2019-02-15,20.0%-25.0%,24.71,2900.0,23.2533,20.5333,2.64,2.61,61.3,60.75000000000001,False,49
2019-01-15,2019-02-15,25.0%-30.0%,26.86,2950.0,23.2533,20.5333,2.49,2.46,57.8,57.3,False,3
2019-01-15,2019-02-15,25.0%-30.0%,29.01,3000.0,23.2533,20.5333,2.32,2.24,53.900000000000006,52.0,False,47
2019-01-15,2019-02-15,30.0%-35.0%,31.16,3050.0,23.2533,20.5333,2.2,2.11,51.17,49.0,False,19
2019-01-15,2019-02-15,30.0%-35.0%,33.31,3100.0,23.2533,20.5333,1.97,1.94,45.75,45.0,False,28
2019-01-15,2019-02-15,35.0%-40.0%,35.46,3150.0,23.2533,20.5333,1.86,1.6,43.32,37.3,False,6
2019-01-15,2019-02-15,35.0%-40.0%,37.61,3200.0,23.2533,20.5333,1.75,1.66,40.73,38.5,False,22
2019-01-15,2019-02-15,35.0%-40.0%,39.77,3250.0,23.2533,20.5333,1.52,1.38,35.25,32.15,False,13
2019-01-16,2019-02-15,20.0%-25.0%,21.45,2850.0,23.4667,20.5333,2.9,2.9,68.03,68.03,False,1
2019-01-16,2019-02-15,25.0%-30.0%,25.71,2950.0,23.4667,20.5333,2.67,2.67,62.55,62.55,False,1
2019-01-16,2019-02-15,25.0%-30.0%,27.84,3000.0,23.4667,20.5333,2.35,2.35,55.25,55.25,False,127
2019-01-16,2019-02-15,25.0%-30.0%,29.97,3050.0,23.4667,20.5333,2.3,2.3,54.05,54.05,False,1
2019-01-16,2019-02-15,30.0%-35.0%,32.1,3100.0,23.4667,20.5333,2.08,2.08,48.9,48.9,False,46
2019-01-16,2019-02-15,30.0%-35.0%,34.23,3150.0,23.4667,20.5333,1.99,1.88,46.79,44.23,False,13
